model,axis_id,length_violation,n,mean_zh_chars,projection_abs_error
qwen35_35b_a3b,emotion_apology,False,452,114.5,0.11109939178938634
qwen35_35b_a3b,emotion_apology,True,108,133.1851851851852,0.16848888795503927
qwen35_35b_a3b,empathy_clinical,False,482,124.46058091286307,0.14105256430490104
qwen35_35b_a3b,empathy_clinical,True,78,152.53846153846155,0.10710407671826139
qwen35_35b_a3b,formality_request,False,398,102.06532663316582,0.08928616856416767
qwen35_35b_a3b,formality_request,True,162,140.60493827160494,0.10062531110924011
qwen35_4b,emotion_apology,False,362,100.03314917127072,0.16003883015110254
qwen35_4b,emotion_apology,True,198,76.47474747474747,0.16605632623880534
qwen35_4b,empathy_clinical,False,458,105.40174672489083,0.16170783291674207
qwen35_4b,empathy_clinical,True,102,77.90196078431373,0.125339919690648
qwen35_4b,formality_request,False,422,95.72511848341232,0.12869967227828566
qwen35_4b,formality_request,True,138,119.1304347826087,0.15336208423347683
qwen35_9b,emotion_apology,False,508,106.5984251968504,0.11316290354910617
qwen35_9b,emotion_apology,True,52,102.15384615384616,0.10192984148676903
qwen35_9b,empathy_clinical,False,500,114.232,0.11925332695346338
qwen35_9b,empathy_clinical,True,60,143.13333333333333,0.11500523958361827
qwen35_9b,formality_request,False,454,95.94273127753304,0.09087521218322708
qwen35_9b,formality_request,True,106,101.49056603773585,0.07139358849146495
