model,axis_id,length_violation,n,mean_zh_chars,projection_abs_error,judge_abs_error
qwen35_35b_a3b,emotion_apology,False,104,123.0673076923077,0.12154241066226562,0.09230769230769233
qwen35_35b_a3b,emotion_apology,True,36,154.25,0.10543527297152892,0.11527777777777776
qwen35_35b_a3b,empathy_clinical,False,108,127.94444444444444,0.11964001483787665,0.2574074074074074
qwen35_35b_a3b,empathy_clinical,True,32,164.75,0.1642790617291026,0.21249999999999997
qwen35_35b_a3b,formality_request,False,90,104.02222222222223,0.11399559158612471,0.12933333333333333
qwen35_35b_a3b,formality_request,True,50,136.28,0.12336833797490289,0.094
qwen35_4b,emotion_apology,False,94,101.24468085106383,0.1355409583023192,0.16223404255319152
qwen35_4b,emotion_apology,True,46,81.41304347826087,0.1434355265630531,0.2293478260869565
qwen35_4b,empathy_clinical,False,119,109.5126050420168,0.163553363405738,0.3499999999999999
qwen35_4b,empathy_clinical,True,21,107.71428571428571,0.17477183520166148,0.24285714285714283
qwen35_4b,formality_request,False,102,95.33333333333333,0.1538052253139123,0.13235294117647062
qwen35_4b,formality_request,True,38,111.23684210526316,0.18075022586384548,0.1868421052631579
qwen35_9b,emotion_apology,False,126,107.44444444444444,0.08964659665348206,0.11984126984126983
qwen35_9b,emotion_apology,True,14,124.92857142857143,0.17635676929203092,0.11428571428571425
qwen35_9b,empathy_clinical,False,118,119.38983050847457,0.13993866185094983,0.18177966101694915
qwen35_9b,empathy_clinical,True,22,162.04545454545453,0.1502779648384299,0.10909090909090909
qwen35_9b,formality_request,False,114,91.7280701754386,0.11284056998342507,0.08877192982456139
qwen35_9b,formality_request,True,26,81.15384615384616,0.10961597942766141,0.0846153846153846
