model,axis_id,length_violation,n,mean_zh_chars,projection_abs_error,judge_abs_error
qwen35_35b_a3b,emotion_apology,False,104,123.0673076923077,0.0958897153301343,0.09230769230769233
qwen35_35b_a3b,emotion_apology,True,36,154.25,0.09396392102409622,0.11527777777777776
qwen35_35b_a3b,empathy_clinical,False,108,127.94444444444444,0.08540536942708567,0.2574074074074074
qwen35_35b_a3b,empathy_clinical,True,32,164.75,0.11002775940089812,0.21249999999999997
qwen35_35b_a3b,formality_request,False,90,104.02222222222223,0.07547681997368207,0.12933333333333333
qwen35_35b_a3b,formality_request,True,50,136.28,0.07884975875767491,0.094
qwen35_4b,emotion_apology,False,94,101.24468085106383,0.1007303593557647,0.16223404255319152
qwen35_4b,emotion_apology,True,46,81.41304347826087,0.13938556354708737,0.2293478260869565
qwen35_4b,empathy_clinical,False,119,109.5126050420168,0.13849778091700465,0.3499999999999999
qwen35_4b,empathy_clinical,True,21,107.71428571428571,0.1493936745666704,0.24285714285714283
qwen35_4b,formality_request,False,102,95.33333333333333,0.11950754729803813,0.13235294117647062
qwen35_4b,formality_request,True,38,111.23684210526316,0.13369253821511662,0.1868421052631579
qwen35_9b,emotion_apology,False,126,107.44444444444444,0.08467756199350972,0.11984126984126983
qwen35_9b,emotion_apology,True,14,124.92857142857143,0.13204953763475338,0.11428571428571425
qwen35_9b,empathy_clinical,False,118,119.38983050847457,0.10275019849409954,0.18177966101694915
qwen35_9b,empathy_clinical,True,22,162.04545454545453,0.08389014696511364,0.10909090909090909
qwen35_9b,formality_request,False,114,91.7280701754386,0.05945153326542525,0.08877192982456139
qwen35_9b,formality_request,True,26,81.15384615384616,0.06311873278621394,0.0846153846153846
