timestamp_utc,gpu_index,gpu_name,memory_used_mib,memory_total_mib,utilization_gpu_percent,temperature_c,power_draw_w
2026-09-15T12:14:38.113919Z,0,NVIDIA L20Z,68092,81559,83,47,398.20
2026-09-15T12:14:38.113919Z,1,NVIDIA L20Z,66330,81559,0,32,121.06
2026-09-15T12:14:38.113919Z,2,NVIDIA L20Z,35708,81559,3,36,125.28
2026-09-15T12:14:38.113919Z,3,NVIDIA L20Z,35180,81559,0,35,127.40
2026-09-15T12:14:38.113919Z,4,NVIDIA L20Z,27822,81559,1,32,122.89
2026-09-15T12:14:38.113919Z,5,NVIDIA L20Z,27822,81559,1,36,124.77
2026-09-15T12:14:38.113919Z,6,NVIDIA L20Z,35708,81559,2,34,119.76
2026-09-15T12:14:38.113919Z,7,NVIDIA L20Z,35180,81559,0,35,114.96
2026-09-15T12:14:43.455825Z,0,NVIDIA L20Z,68092,81559,62,46,296.84
2026-09-15T12:14:43.455825Z,1,NVIDIA L20Z,66330,81559,0,32,120.93
2026-09-15T12:14:43.455825Z,2,NVIDIA L20Z,35180,81559,0,37,126.20
2026-09-15T12:14:43.455825Z,3,NVIDIA L20Z,35180,81559,0,35,127.34
2026-09-15T12:14:43.455825Z,4,NVIDIA L20Z,27822,81559,1,32,122.90
2026-09-15T12:14:43.455825Z,5,NVIDIA L20Z,27822,81559,1,36,124.75
2026-09-15T12:14:43.455825Z,6,NVIDIA L20Z,35180,81559,0,34,123.56
2026-09-15T12:14:43.455825Z,7,NVIDIA L20Z,35180,81559,0,36,119.16
2026-09-15T12:14:48.758161Z,0,NVIDIA L20Z,68092,81559,68,46,345.02
2026-09-15T12:14:48.758161Z,1,NVIDIA L20Z,66330,81559,0,32,121.04
2026-09-15T12:14:48.758161Z,2,NVIDIA L20Z,35180,81559,0,37,126.17
2026-09-15T12:14:48.758161Z,3,NVIDIA L20Z,35180,81559,0,35,127.38
2026-09-15T12:14:48.758161Z,4,NVIDIA L20Z,27822,81559,0,32,122.90
2026-09-15T12:14:48.758161Z,5,NVIDIA L20Z,27822,81559,2,36,124.83
2026-09-15T12:14:48.758161Z,6,NVIDIA L20Z,35180,81559,0,34,124.00
2026-09-15T12:14:48.758161Z,7,NVIDIA L20Z,35180,81559,0,36,119.28
2026-09-15T12:14:53.898606Z,0,NVIDIA L20Z,68092,81559,31,47,319.38
2026-09-15T12:14:53.898606Z,1,NVIDIA L20Z,66330,81559,0,33,121.05
2026-09-15T12:14:53.898606Z,2,NVIDIA L20Z,35180,81559,0,37,126.25
2026-09-15T12:14:53.898606Z,3,NVIDIA L20Z,35180,81559,0,35,127.35
2026-09-15T12:14:53.898606Z,4,NVIDIA L20Z,27822,81559,1,32,122.95
2026-09-15T12:14:53.898606Z,5,NVIDIA L20Z,27822,81559,1,36,124.85
2026-09-15T12:14:53.898606Z,6,NVIDIA L20Z,35180,81559,0,34,121.96
2026-09-15T12:14:53.898606Z,7,NVIDIA L20Z,35180,81559,0,36,117.21
2026-09-15T12:14:59.043027Z,0,NVIDIA L20Z,68092,81559,43,47,352.75
2026-09-15T12:14:59.043027Z,1,NVIDIA L20Z,66330,81559,0,33,121.02
2026-09-15T12:14:59.043027Z,2,NVIDIA L20Z,35180,81559,0,37,126.20
2026-09-15T12:14:59.043027Z,3,NVIDIA L20Z,35180,81559,0,35,127.42
2026-09-15T12:14:59.043027Z,4,NVIDIA L20Z,27822,81559,1,32,122.96
2026-09-15T12:14:59.043027Z,5,NVIDIA L20Z,27822,81559,1,36,124.87
2026-09-15T12:14:59.043027Z,6,NVIDIA L20Z,35180,81559,0,34,119.65
2026-09-15T12:14:59.043027Z,7,NVIDIA L20Z,35180,81559,0,36,114.81
2026-09-15T12:15:04.178400Z,0,NVIDIA L20Z,68092,81559,3,45,298.76
2026-09-15T12:15:04.178400Z,1,NVIDIA L20Z,66330,81559,0,33,121.07
2026-09-15T12:15:04.178400Z,2,NVIDIA L20Z,35180,81559,1,37,126.33
2026-09-15T12:15:04.178400Z,3,NVIDIA L20Z,35180,81559,0,35,127.49
2026-09-15T12:15:04.178400Z,4,NVIDIA L20Z,66962,81559,1,32,126.09
2026-09-15T12:15:04.178400Z,5,NVIDIA L20Z,66962,81559,13,36,127.58
2026-09-15T12:15:04.178400Z,6,NVIDIA L20Z,35180,81559,0,34,119.29
2026-09-15T12:15:04.178400Z,7,NVIDIA L20Z,35180,81559,0,36,114.88
2026-09-15T12:15:09.318347Z,0,NVIDIA L20Z,68092,81559,84,48,391.68
2026-09-15T12:15:09.318347Z,1,NVIDIA L20Z,66330,81559,0,33,121.01
2026-09-15T12:15:09.318347Z,2,NVIDIA L20Z,35180,81559,0,37,126.35
2026-09-15T12:15:09.318347Z,3,NVIDIA L20Z,35180,81559,0,35,127.50
2026-09-15T12:15:09.318347Z,4,NVIDIA L20Z,69202,81559,0,32,118.74
2026-09-15T12:15:09.318347Z,5,NVIDIA L20Z,69202,81559,0,36,120.51
2026-09-15T12:15:09.318347Z,6,NVIDIA L20Z,35180,81559,0,34,119.33
2026-09-15T12:15:09.318347Z,7,NVIDIA L20Z,35180,81559,0,36,114.95
2026-09-15T12:15:14.494863Z,0,NVIDIA L20Z,68092,81559,45,47,334.61
2026-09-15T12:15:14.494863Z,1,NVIDIA L20Z,66330,81559,0,33,121.11
2026-09-15T12:15:14.494863Z,2,NVIDIA L20Z,35180,81559,0,37,121.89
2026-09-15T12:15:14.494863Z,3,NVIDIA L20Z,35180,81559,0,35,122.50
2026-09-15T12:15:14.494863Z,4,NVIDIA L20Z,69202,81559,0,34,133.64
2026-09-15T12:15:14.494863Z,5,NVIDIA L20Z,69202,81559,0,36,121.91
2026-09-15T12:15:14.494863Z,6,NVIDIA L20Z,35180,81559,0,34,119.33
2026-09-15T12:15:14.494863Z,7,NVIDIA L20Z,35180,81559,0,36,114.98
2026-09-15T12:15:19.632988Z,0,NVIDIA L20Z,68092,81559,45,47,320.53
2026-09-15T12:15:19.632988Z,1,NVIDIA L20Z,66330,81559,0,33,121.17
2026-09-15T12:15:19.632988Z,2,NVIDIA L20Z,35180,81559,0,37,121.85
2026-09-15T12:15:19.632988Z,3,NVIDIA L20Z,35180,81559,0,35,122.40
2026-09-15T12:15:19.632988Z,4,NVIDIA L20Z,69204,81559,0,33,120.18
2026-09-15T12:15:19.632988Z,5,NVIDIA L20Z,69204,81559,0,36,121.10
2026-09-15T12:15:19.632988Z,6,NVIDIA L20Z,35180,81559,0,34,119.32
2026-09-15T12:15:19.632988Z,7,NVIDIA L20Z,35180,81559,0,36,115.01
2026-09-15T12:15:24.779796Z,0,NVIDIA L20Z,68092,81559,94,49,353.24
2026-09-15T12:15:24.779796Z,1,NVIDIA L20Z,66330,81559,0,33,121.13
2026-09-15T12:15:24.779796Z,2,NVIDIA L20Z,35180,81559,1,37,121.96
2026-09-15T12:15:24.779796Z,3,NVIDIA L20Z,35180,81559,1,35,122.44
2026-09-15T12:15:24.779796Z,4,NVIDIA L20Z,69954,81559,92,33,125.44
2026-09-15T12:15:24.779796Z,5,NVIDIA L20Z,69312,81559,0,36,124.78
2026-09-15T12:15:24.779796Z,6,NVIDIA L20Z,35180,81559,0,34,119.41
2026-09-15T12:15:24.779796Z,7,NVIDIA L20Z,35180,81559,0,36,115.04
2026-09-15T12:15:29.924019Z,0,NVIDIA L20Z,68092,81559,1,45,248.93
2026-09-15T12:15:29.924019Z,1,NVIDIA L20Z,66330,81559,0,33,121.05
2026-09-15T12:15:29.924019Z,2,NVIDIA L20Z,35180,81559,2,37,121.92
2026-09-15T12:15:29.924019Z,3,NVIDIA L20Z,35180,81559,0,35,122.52
2026-09-15T12:15:29.924019Z,4,NVIDIA L20Z,70210,81559,0,33,122.09
2026-09-15T12:15:29.924019Z,5,NVIDIA L20Z,69570,81559,45,38,139.55
2026-09-15T12:15:29.924019Z,6,NVIDIA L20Z,35180,81559,0,34,119.89
2026-09-15T12:15:29.924019Z,7,NVIDIA L20Z,35180,81559,0,36,115.05
2026-09-15T12:15:35.115593Z,0,NVIDIA L20Z,68092,81559,30,46,328.95
2026-09-15T12:15:35.115593Z,1,NVIDIA L20Z,66330,81559,0,33,121.12
2026-09-15T12:15:35.115593Z,2,NVIDIA L20Z,35180,81559,0,37,122.12
2026-09-15T12:15:35.115593Z,3,NVIDIA L20Z,35180,81559,0,35,122.46
2026-09-15T12:15:35.115593Z,4,NVIDIA L20Z,70210,81559,62,33,138.48
2026-09-15T12:15:35.115593Z,5,NVIDIA L20Z,69570,81559,0,37,140.85
2026-09-15T12:15:35.115593Z,6,NVIDIA L20Z,35180,81559,0,34,119.80
2026-09-15T12:15:35.115593Z,7,NVIDIA L20Z,35180,81559,0,36,115.12
2026-09-15T12:15:40.271152Z,0,NVIDIA L20Z,68092,81559,62,46,303.20
2026-09-15T12:15:40.271152Z,1,NVIDIA L20Z,66349,81559,0,33,120.77
2026-09-15T12:15:40.271152Z,2,NVIDIA L20Z,35180,81559,0,37,121.97
2026-09-15T12:15:40.271152Z,3,NVIDIA L20Z,35180,81559,0,35,122.40
2026-09-15T12:15:40.271152Z,4,NVIDIA L20Z,70760,81559,0,34,121.46
2026-09-15T12:15:40.271152Z,5,NVIDIA L20Z,70120,81559,0,37,121.35
2026-09-15T12:15:40.271152Z,6,NVIDIA L20Z,35180,81559,0,34,119.78
2026-09-15T12:15:40.271152Z,7,NVIDIA L20Z,35180,81559,0,36,115.05
2026-09-15T12:15:45.430560Z,0,NVIDIA L20Z,68092,81559,47,48,327.53
2026-09-15T12:15:45.430560Z,1,NVIDIA L20Z,66330,81559,0,33,120.69
2026-09-15T12:15:45.430560Z,2,NVIDIA L20Z,35180,81559,0,37,126.46
2026-09-15T12:15:45.430560Z,3,NVIDIA L20Z,35180,81559,1,35,124.82
2026-09-15T12:15:45.430560Z,4,NVIDIA L20Z,70760,81559,0,33,121.23
2026-09-15T12:15:45.430560Z,5,NVIDIA L20Z,70120,81559,0,37,121.34
2026-09-15T12:15:45.430560Z,6,NVIDIA L20Z,35180,81559,0,34,119.85
2026-09-15T12:15:45.430560Z,7,NVIDIA L20Z,35180,81559,0,36,115.08
2026-09-15T12:15:50.809301Z,0,NVIDIA L20Z,68092,81559,2,45,312.85
2026-09-15T12:15:50.809301Z,1,NVIDIA L20Z,66754,81559,0,34,151.73
2026-09-15T12:15:50.809301Z,2,NVIDIA L20Z,35180,81559,0,37,126.54
2026-09-15T12:15:50.809301Z,3,NVIDIA L20Z,35180,81559,0,35,126.89
2026-09-15T12:15:50.809301Z,4,NVIDIA L20Z,70760,81559,0,33,124.85
2026-09-15T12:15:50.809301Z,5,NVIDIA L20Z,70120,81559,0,37,125.29
2026-09-15T12:15:50.809301Z,6,NVIDIA L20Z,35180,81559,0,35,124.14
2026-09-15T12:15:50.809301Z,7,NVIDIA L20Z,35180,81559,0,36,119.41
2026-09-15T12:15:56.014964Z,0,NVIDIA L20Z,68092,81559,55,46,278.58
2026-09-15T12:15:56.014964Z,1,NVIDIA L20Z,66754,81559,0,33,116.52
2026-09-15T12:15:56.014964Z,2,NVIDIA L20Z,35180,81559,0,37,126.50
2026-09-15T12:15:56.014964Z,3,NVIDIA L20Z,35180,81559,0,35,126.90
2026-09-15T12:15:56.014964Z,4,NVIDIA L20Z,70762,81559,100,42,423.45
2026-09-15T12:15:56.014964Z,5,NVIDIA L20Z,70122,81559,16,42,355.88
2026-09-15T12:15:56.014964Z,6,NVIDIA L20Z,35180,81559,0,35,124.21
2026-09-15T12:15:56.014964Z,7,NVIDIA L20Z,35180,81559,0,36,118.90
2026-09-15T12:16:01.219407Z,0,NVIDIA L20Z,68092,81559,65,45,403.44
2026-09-15T12:16:01.219407Z,1,NVIDIA L20Z,66754,81559,0,33,116.62
2026-09-15T12:16:01.219407Z,2,NVIDIA L20Z,35180,81559,0,37,126.45
2026-09-15T12:16:01.219407Z,3,NVIDIA L20Z,35180,81559,0,35,127.26
2026-09-15T12:16:01.219407Z,4,NVIDIA L20Z,70762,81559,0,34,121.63
2026-09-15T12:16:01.219407Z,5,NVIDIA L20Z,70122,81559,0,38,121.68
2026-09-15T12:16:01.219407Z,6,NVIDIA L20Z,35180,81559,0,35,124.24
2026-09-15T12:16:01.219407Z,7,NVIDIA L20Z,35180,81559,0,36,119.40
2026-09-15T12:16:06.374203Z,0,NVIDIA L20Z,68094,81559,64,48,308.42
