failure_type,aggregation,count,total,proportion,model_id,style_axis,encoder_id
early_overshoot,overall,2391,4800,0.498125,,,
early_overshoot,model,510,960,0.53125,qwen35_35b_a3b,,
early_overshoot,model,477,960,0.496875,qwen35_4b,,
early_overshoot,model,397,960,0.41354166666666664,qwen35_9b,,
early_overshoot,model,545,960,0.5677083333333334,qwen36_27b,,
early_overshoot,model,462,960,0.48125,qwen36_35b_a3b,,
early_overshoot,style_axis,504,600,0.84,,concision_detail,
early_overshoot,style_axis,100,600,0.16666666666666666,,emotion_apology,
early_overshoot,style_axis,413,600,0.6883333333333334,,empathy_clinical,
early_overshoot,style_axis,165,600,0.275,,expertise_explain,
early_overshoot,style_axis,116,600,0.19333333333333333,,formality_request,
early_overshoot,style_axis,320,600,0.5333333333333333,,humor_neutral,
early_overshoot,style_axis,343,600,0.5716666666666667,,objectivity_cat,
early_overshoot,style_axis,430,600,0.7166666666666667,,politeness_refusal,
early_overshoot,encoder,810,1600,0.50625,,,bge_m3
early_overshoot,encoder,817,1600,0.510625,,,multilingual_e5_large_instruct
early_overshoot,encoder,764,1600,0.4775,,,text2vec_base_chinese
late_under_response,overall,2818,4800,0.5870833333333333,,,
late_under_response,model,543,960,0.565625,qwen35_35b_a3b,,
late_under_response,model,795,960,0.828125,qwen35_4b,,
late_under_response,model,423,960,0.440625,qwen35_9b,,
late_under_response,model,582,960,0.60625,qwen36_27b,,
late_under_response,model,475,960,0.4947916666666667,qwen36_35b_a3b,,
late_under_response,style_axis,528,600,0.88,,concision_detail,
late_under_response,style_axis,464,600,0.7733333333333333,,emotion_apology,
late_under_response,style_axis,187,600,0.31166666666666665,,empathy_clinical,
late_under_response,style_axis,326,600,0.5433333333333333,,expertise_explain,
late_under_response,style_axis,207,600,0.345,,formality_request,
late_under_response,style_axis,481,600,0.8016666666666666,,humor_neutral,
late_under_response,style_axis,193,600,0.32166666666666666,,objectivity_cat,
late_under_response,style_axis,432,600,0.72,,politeness_refusal,
late_under_response,encoder,1088,1600,0.68,,,bge_m3
late_under_response,encoder,861,1600,0.538125,,,multilingual_e5_large_instruct
late_under_response,encoder,869,1600,0.543125,,,text2vec_base_chinese
non_monotonic_reversal,overall,1275,4800,0.265625,,,
non_monotonic_reversal,model,255,960,0.265625,qwen35_35b_a3b,,
non_monotonic_reversal,model,330,960,0.34375,qwen35_4b,,
non_monotonic_reversal,model,140,960,0.14583333333333334,qwen35_9b,,
non_monotonic_reversal,model,356,960,0.37083333333333335,qwen36_27b,,
non_monotonic_reversal,model,194,960,0.20208333333333334,qwen36_35b_a3b,,
non_monotonic_reversal,style_axis,358,600,0.5966666666666667,,concision_detail,
non_monotonic_reversal,style_axis,188,600,0.31333333333333335,,emotion_apology,
non_monotonic_reversal,style_axis,89,600,0.14833333333333334,,empathy_clinical,
non_monotonic_reversal,style_axis,140,600,0.23333333333333334,,expertise_explain,
non_monotonic_reversal,style_axis,72,600,0.12,,formality_request,
non_monotonic_reversal,style_axis,146,600,0.24333333333333335,,humor_neutral,
non_monotonic_reversal,style_axis,73,600,0.12166666666666667,,objectivity_cat,
non_monotonic_reversal,style_axis,209,600,0.34833333333333333,,politeness_refusal,
non_monotonic_reversal,encoder,407,1600,0.254375,,,bge_m3
non_monotonic_reversal,encoder,448,1600,0.28,,,multilingual_e5_large_instruct
non_monotonic_reversal,encoder,420,1600,0.2625,,,text2vec_base_chinese
near_constant_response,overall,577,4800,0.12020833333333333,,,
near_constant_response,model,139,960,0.14479166666666668,qwen35_35b_a3b,,
near_constant_response,model,171,960,0.178125,qwen35_4b,,
near_constant_response,model,74,960,0.07708333333333334,qwen35_9b,,
near_constant_response,model,112,960,0.11666666666666667,qwen36_27b,,
near_constant_response,model,81,960,0.084375,qwen36_35b_a3b,,
near_constant_response,style_axis,161,600,0.2683333333333333,,concision_detail,
near_constant_response,style_axis,38,600,0.06333333333333334,,emotion_apology,
near_constant_response,style_axis,50,600,0.08333333333333333,,empathy_clinical,
near_constant_response,style_axis,20,600,0.03333333333333333,,expertise_explain,
near_constant_response,style_axis,11,600,0.018333333333333333,,formality_request,
near_constant_response,style_axis,137,600,0.22833333333333333,,humor_neutral,
near_constant_response,style_axis,22,600,0.03666666666666667,,objectivity_cat,
near_constant_response,style_axis,138,600,0.23,,politeness_refusal,
near_constant_response,encoder,264,1600,0.165,,,bge_m3
near_constant_response,encoder,152,1600,0.095,,,multilingual_e5_large_instruct
near_constant_response,encoder,161,1600,0.100625,,,text2vec_base_chinese
endpoint_collapse,overall,480,4800,0.1,,,
endpoint_collapse,model,113,960,0.11770833333333333,qwen35_35b_a3b,,
endpoint_collapse,model,123,960,0.128125,qwen35_4b,,
endpoint_collapse,model,78,960,0.08125,qwen35_9b,,
endpoint_collapse,model,68,960,0.07083333333333333,qwen36_27b,,
endpoint_collapse,model,98,960,0.10208333333333333,qwen36_35b_a3b,,
endpoint_collapse,style_axis,388,600,0.6466666666666666,,concision_detail,
endpoint_collapse,style_axis,9,600,0.015,,emotion_apology,
endpoint_collapse,style_axis,5,600,0.008333333333333333,,empathy_clinical,
endpoint_collapse,style_axis,0,600,0.0,,expertise_explain,
endpoint_collapse,style_axis,20,600,0.03333333333333333,,formality_request,
endpoint_collapse,style_axis,7,600,0.011666666666666667,,humor_neutral,
endpoint_collapse,style_axis,14,600,0.023333333333333334,,objectivity_cat,
endpoint_collapse,style_axis,37,600,0.06166666666666667,,politeness_refusal,
endpoint_collapse,encoder,160,1600,0.1,,,bge_m3
endpoint_collapse,encoder,160,1600,0.1,,,multilingual_e5_large_instruct
endpoint_collapse,encoder,160,1600,0.1,,,text2vec_base_chinese
out_of_range_extrapolation,overall,135,4800,0.028125,,,
out_of_range_extrapolation,model,26,960,0.027083333333333334,qwen35_35b_a3b,,
out_of_range_extrapolation,model,27,960,0.028125,qwen35_4b,,
out_of_range_extrapolation,model,16,960,0.016666666666666666,qwen35_9b,,
out_of_range_extrapolation,model,32,960,0.03333333333333333,qwen36_27b,,
out_of_range_extrapolation,model,34,960,0.035416666666666666,qwen36_35b_a3b,,
out_of_range_extrapolation,style_axis,32,600,0.05333333333333334,,concision_detail,
out_of_range_extrapolation,style_axis,25,600,0.041666666666666664,,emotion_apology,
out_of_range_extrapolation,style_axis,13,600,0.021666666666666667,,empathy_clinical,
out_of_range_extrapolation,style_axis,8,600,0.013333333333333334,,expertise_explain,
out_of_range_extrapolation,style_axis,25,600,0.041666666666666664,,formality_request,
out_of_range_extrapolation,style_axis,5,600,0.008333333333333333,,humor_neutral,
out_of_range_extrapolation,style_axis,13,600,0.021666666666666667,,objectivity_cat,
out_of_range_extrapolation,style_axis,14,600,0.023333333333333334,,politeness_refusal,
out_of_range_extrapolation,encoder,23,1600,0.014375,,,bge_m3
out_of_range_extrapolation,encoder,52,1600,0.0325,,,multilingual_e5_large_instruct
out_of_range_extrapolation,encoder,60,1600,0.0375,,,text2vec_base_chinese
high_off_axis_drift,overall,480,4800,0.1,,,
high_off_axis_drift,model,83,960,0.08645833333333333,qwen35_35b_a3b,,
high_off_axis_drift,model,143,960,0.14895833333333333,qwen35_4b,,
high_off_axis_drift,model,82,960,0.08541666666666667,qwen35_9b,,
high_off_axis_drift,model,74,960,0.07708333333333334,qwen36_27b,,
high_off_axis_drift,model,98,960,0.10208333333333333,qwen36_35b_a3b,,
high_off_axis_drift,style_axis,328,600,0.5466666666666666,,concision_detail,
high_off_axis_drift,style_axis,15,600,0.025,,emotion_apology,
high_off_axis_drift,style_axis,8,600,0.013333333333333334,,empathy_clinical,
