model_id,family_version,architecture,encoder_id,anchor_mode,calibration_intercept_estimate,calibration_slope_estimate,constant_half_mae_estimate,endpoint_distance_ratio_mae_estimate,endpoint_separation_estimate,interior_calibration_error_estimate,interpolation_distance_mean_estimate,interpolation_distance_rms_estimate,isotonic_cv_mae_estimate,length_only_cv_mae_estimate,median_absolute_error_estimate,nearest_neighbor_mean_rank_estimate,nearest_neighbor_mean_rank_normalized_estimate,normalized_off_axis_drift_estimate,out_of_range_rate_estimate,pearson_correlation_estimate,spearman_monotonicity_estimate,calibration_intercept_ci_lower,calibration_slope_ci_lower,constant_half_mae_ci_lower,endpoint_distance_ratio_mae_ci_lower,endpoint_separation_ci_lower,interior_calibration_error_ci_lower,interpolation_distance_mean_ci_lower,interpolation_distance_rms_ci_lower,isotonic_cv_mae_ci_lower,length_only_cv_mae_ci_lower,median_absolute_error_ci_lower,nearest_neighbor_mean_rank_ci_lower,nearest_neighbor_mean_rank_normalized_ci_lower,normalized_off_axis_drift_ci_lower,out_of_range_rate_ci_lower,pearson_correlation_ci_lower,spearman_monotonicity_ci_lower,calibration_intercept_ci_upper,calibration_slope_ci_upper,constant_half_mae_ci_upper,endpoint_distance_ratio_mae_ci_upper,endpoint_separation_ci_upper,interior_calibration_error_ci_upper,interpolation_distance_mean_ci_upper,interpolation_distance_rms_ci_upper,isotonic_cv_mae_ci_upper,length_only_cv_mae_ci_upper,median_absolute_error_ci_upper,nearest_neighbor_mean_rank_ci_upper,nearest_neighbor_mean_rank_normalized_ci_upper,normalized_off_axis_drift_ci_upper,out_of_range_rate_ci_upper,pearson_correlation_ci_upper,spearman_monotonicity_ci_upper
qwen35_35b_a3b,Qwen3.5,MoE,bge_m3,self,0.33062465960102744,0.3073407108064418,0.19999999999999998,0.18420441147253636,0.5479099786051351,0.18575605625914107,0.7417167304102084,0.7516646253162882,0.17019397176568277,0.20398416884282597,0.1688383237976085,4.1729166666666675,0.5288194444444444,0.7048121199385416,0.0016666666666666666,0.6766458281141517,0.6649999999999998,0.3177388121462354,0.28997437533988113,0.19999999999999998,0.18274861932673414,0.5395965369570973,0.1819178391903518,0.7335348401385205,0.7429445162559432,0.16662029229025227,0.20238183343476127,0.16392832732680696,4.136458333333334,0.5227430555555556,0.6964974516751951,0.000625,0.6449869324652877,0.6306249999999999,0.34404506661470136,0.32463728487596566,0.19999999999999998,0.18561645002604235,0.5562559759991451,0.18976854904281054,0.7502398419886454,0.7607249454430727,0.17375658926728405,0.20567413660460165,0.1738096774794874,4.208541666666667,0.5347569444444444,0.7134027064628929,0.002916666666666667,0.7079180599663272,0.6987499999999999
qwen35_35b_a3b,Qwen3.5,MoE,multilingual_e5_large_instruct,self,0.31773978118029256,0.3894966640480897,0.19999999999999998,0.1775797668013916,0.2631781579975973,0.18648693322637366,0.695611873357456,0.7060012577971169,0.16726423268812868,0.20398416884282597,0.174462078465335,3.973958333333333,0.49565972222222215,0.6550816103015646,0.002916666666666667,0.7085664080310163,0.6959374999999999,0.3036228850105395,0.36962785151429256,0.19999999999999998,0.1757716412641078,0.25916409068271873,0.18186545368275786,0.6871718991502582,0.6970947551471326,0.1637632726683232,0.20238183343476127,0.1691840728728638,3.9364531249999994,0.4894088541666666,0.6463231163833336,0.00125,0.6772944260328112,0.6628124999999999,0.3317789022127449,0.40930465482716855,0.19999999999999998,0.17940312697175048,0.2671212259808993,0.19112807144821253,0.703838409672917,0.7146848416305829,0.17074102296758165,0.20567413660460165,0.17985499309400213,4.011875,0.5019791666666666,0.6634813399243338,0.004999999999999999,0.7400559538844416,0.7293749999999999
qwen35_35b_a3b,Qwen3.5,MoE,text2vec_base_chinese,self,0.3081490117260402,0.3951826987992303,0.19999999999999998,0.1765327580837551,0.5318644952271256,0.17550259340939636,0.6993009526368168,0.7081386113376784,0.1579493392414429,0.20398416884282597,0.16136250612790998,3.96625,0.49437499999999995,0.6645149220031159,0.0016666666666666666,0.7169912037269943,0.7096874999999999,0.2943409612446645,0.37571527932009424,0.19999999999999998,0.17487098811429966,0.5253341667888809,0.17145967238453755,0.6915797342396718,0.6999190755745683,0.15433758788988763,0.20238183343476127,0.15669526331032235,3.9275000000000007,0.48791666666666667,0.6566778088351222,0.000625,0.6889180254533389,0.6806249999999998,0.32214663921189957,0.4146741554492057,0.19999999999999998,0.17819847292458219,0.5383557784947467,0.1795917545411085,0.7071871181896091,0.7166085921211424,0.16157746021599148,0.20567413660460165,0.16601233708459492,4.005625,0.5009375,0.6725194796858729,0.002916666666666667,0.7453799326712346,0.7381249999999999
qwen35_4b,Qwen3.5,Dense,bge_m3,self,0.3467569836093703,0.1937125445207619,0.19999999999999998,0.19236927101087184,0.5234231873036126,0.2088578068459666,0.8054969146506494,0.8185042938339752,0.18439115719200735,0.2030527168134657,0.18777954670010888,4.4496875,0.5749479166666667,0.7629701472646913,0.0010416666666666669,0.5236360602015988,0.49562499999999987,0.3344188650905857,0.17582822698956618,0.19999999999999998,0.19102683512835172,0.5149482892870877,0.20497807806409896,0.7970186120322038,0.8094455133859255,0.18122301926528217,0.2015256173059856,0.18285613789280403,4.4179140625,0.56965234375,0.7541524978455877,0.00020833333333333332,0.48308290060999426,0.45375,0.3590173937058569,0.21159038628403495,0.19999999999999998,0.19370704695130664,0.5317196212030978,0.2126672500881517,0.814172298981461,0.8279203211112137,0.18743449487403893,0.20475736405963874,0.19261112808858794,4.482708333333333,0.5804513888888888,0.7718620640665903,0.0022916666666666667,0.5638845584664388,0.538125
qwen35_4b,Qwen3.5,Dense,multilingual_e5_large_instruct,self,0.3230343082771078,0.26388179117545674,0.19999999999999998,0.18720043886589574,0.24771336937877758,0.20201742160803854,0.7765809339397199,0.7902398553902872,0.17417910317766147,0.2030527168134657,0.18095021638330927,4.344270833333333,0.5573784722222221,0.7336532802802271,0.0025,0.5814723011508285,0.5549999999999999,0.310904327718393,0.2448736493216059,0.19999999999999998,0.18558891853009304,0.2434994192389241,0.19784377614800144,0.7675081916362949,0.7805810865692461,0.17061645641644377,0.2015256173059856,0.17598799781308597,4.3090625000000005,0.5515104166666667,0.724260029214287,0.0012499999999999998,0.5413809190988607,0.5118749999999999,0.3354820479970748,0.28308696748882267,0.19999999999999998,0.18884820401140606,0.2518791775552846,0.20612611238698575,0.7855261485797708,0.7998427780642412,0.1777735503760229,0.20475736405963874,0.18588969943741007,4.378229166666666,0.5630381944444445,0.743037403863245,0.003958333333333334,0.6200125522024378,0.5959374999999999
qwen35_4b,Qwen3.5,Dense,text2vec_base_chinese,self,0.32086484581821917,0.2746910388989132,0.19999999999999998,0.18607024041972525,0.5209025581144809,0.19464285909931264,0.7795367513019152,0.7913226159561603,0.17105902409721843,0.2030527168134657,0.17342964736345806,4.3384374999999995,0.55640625,0.7402839771737587,0.0027083333333333334,0.5894310058061734,0.578125,0.3086999605153643,0.2553070349845569,0.19999999999999998,0.18447694669801978,0.5141543406069919,0.19048010708942836,0.7707935515295778,0.7821573682169161,0.16746447827522953,0.2015256173059856,0.1684218263692418,4.3035390625,0.5505898437499999,0.7315098413438846,0.00125,0.5504778577300166,0.5378124999999999,0.33298207982318767,0.2941892068278885,0.19999999999999998,0.18764608875543703,0.5274219286228867,0.19875561895801408,0.7886936009876063,0.8010656091776163,0.17463918036344697,0.20475736405963874,0.17848933538481734,4.373645833333333,0.5622743055555556,0.7496332992428463,0.004375,0.6267139795837433,0.6174999999999999
qwen35_9b,Qwen3.5,Dense,bge_m3,self,0.2515094894675002,0.45347370452299335,0.19999999999999998,0.17234283931059985,0.578795383417124,0.16137452420761347,0.7383898848473589,0.7487824656478304,0.1391461250621226,0.20357487377575412,0.14963994854970508,4.048333333333334,0.5080555555555556,0.7101097823335666,0.000625,0.7936310217134902,0.7834374999999998,0.23794824517367608,0.43244000378189434,0.19999999999999998,0.1705521737061184,0.570734554178752,0.15761297515967337,0.7295992961062145,0.7395799552574487,0.13502030340716825,0.20199027397295136,0.14502328687707253,4.0112499999999995,0.5018750000000001,0.7011107177815353,0.0,0.7684312983578367,0.7578124999999998,0.26456259069676713,0.47549586927195964,0.19999999999999998,0.1740487854504068,0.5864366113900515,0.1651160159480704,0.7470486985745219,0.7579795458476412,0.14318756802348706,0.20526462333271084,0.15417193931237963,4.084583333333333,0.5140972222222222,0.7190684834314056,0.0014583333333333334,0.8182793221263559,0.8093749999999998
qwen35_9b,Qwen3.5,Dense,multilingual_e5_large_instruct,self,0.21895358840613977,0.5738329707083816,0.19999999999999998,0.16100601143971588,0.2792543123640995,0.1584125475399398,0.6855643998797849,0.6960295005832592,0.13405777733915927,0.20357487377575412,0.1514157372661149,3.819583333333333,0.4699305555555555,0.6554011788172481,0.0008333333333333333,0.8092336703244832,0.8046874999999998,0.20422016987841668,0.5500515315079685,0.19999999999999998,0.15883013330816154,0.27509561313699477,0.15421913028150286,0.6771662730283694,0.6870070014331326,0.12969495279194976,0.20199027397295136,0.1464977569787227,3.7802083333333334,0.46336805555555555,0.6469096254841588,0.00020833333333333332,0.7840634288232178,0.7787499999999998,0.23301361466038104,0.5980483943295333,0.19999999999999998,0.1631410131454786,0.28332279667443344,0.16247884926135853,0.6939015428889119,0.7050465505299555,0.13840071669894405,0.20526462333271084,0.1563948179492488,3.8574999999999995,0.47624999999999995,0.6640353572018025,0.0016666666666666666,0.8337667381020479,0.8300078124999998
qwen35_9b,Qwen3.5,Dense,text2vec_base_chinese,self,0.2142923098996124,0.5811909948263777,0.19999999999999998,0.1596791559052912,0.5613217495738547,0.14848843149404406,0.7003641058149233,0.709015184891056,0.12573960692516886,0.20357487377575412,0.13825932778614938,3.849583333333334,0.4749305555555555,0.6749421100758888,0.0018750000000000004,0.8209478304518225,0.8103124999999999,0.20125513877933504,0.5597399246724393,0.19999999999999998,0.1576573724540714,0.5545606258922019,0.14464939377077063,0.6924877581803367,0.7009056319936956,0.12158271237816518,0.20199027397295136,0.1338993124862344,3.810828125,0.46847135416666663,0.6671688732056572,0.0008333333333333333,0.7962223686590749,0.7843749999999999,0.22690776432436066,0.6034718577403895,0.19999999999999998,0.16161153326640307,0.5677122632181458,0.1522455854336003,0.7082399017956637,0.7171689869843278,0.12980584032613984,0.20526462333271084,0.14265516639971337,3.886875,0.4811458333333333,0.6828714024396945,0.003125,0.8445864891971495,0.8356249999999997
qwen36_27b,Qwen3.6,Dense,bge_m3,self,0.32786320094715105,0.29457549596074883,0.19999999999999998,0.1845150663515572,0.6171033925836078,0.18965391375162857,0.7438145716310262,0.7575010727746968,0.16833903196147054,0.20133412046916824,0.16945786833976967,4.219270833333334,0.5365451388888888,0.7035329072855803,0.00125,0.6385532743973784,0.6103124999999998,0.3156613747012121,0.27530296722061465,0.19999999999999998,0.1829425053024914,0.6094984960414104,0.18546719245795418,0.735443788557564,0.748239189530588,0.16468576786796524,0.20060452486506164,0.16431043769846682,4.183020833333333,0.5305034722222223,0.6948579233680828,0.00020833333333333332,0.6043370884455659,0.5731249999999999,0.3402570856178184,0.3137591472247077,0.19999999999999998,0.18614885731244624,0.6245837282019655,0.1938399673614163,0.7521620659782766,0.7667870422804552,0.17203397392830647,0.20215950335818617,0.1747491659195857,4.2551041666666665,0.5425173611111112,0.7121894146716347,0.002916666666666667,0.6720507354106472,0.6465624999999999
