model_id,prompt_level,temperature_level,style_scalar_mae,naturalness,content_pass,character_length
qwen35_4b,P1,high,0.3124166666666667,4.415,0.9883333333333333,112.93333333333334
qwen35_4b,P1,low,0.3050555555555555,4.49,0.9883333333333333,109.65166666666666
qwen35_4b,P2,high,0.2950833333333333,4.288333333333333,0.9883333333333333,112.59833333333334
qwen35_4b,P2,low,0.3025833333333333,4.385,0.9983333333333333,110.71833333333333
qwen35_9b,P1,high,0.26069444444444445,4.36,0.9866666666666667,121.90333333333334
qwen35_9b,P1,low,0.2609444444444444,4.42,0.98,118.425
qwen35_9b,P2,high,0.28038888888888885,4.2283333333333335,0.9983333333333333,124.20833333333334
qwen35_9b,P2,low,0.29194444444444445,4.293333333333333,1.0,123.83833333333334
qwen36_27b,P1,high,0.2657222222222222,4.123333333333333,0.9683333333333333,143.17833333333334
qwen36_27b,P1,low,0.25705555555555554,4.088333333333333,0.97,154.76833333333335
qwen36_27b,P2,high,0.28499444444444444,4.293333333333333,0.9816666666666667,115.96333333333334
qwen36_27b,P2,low,0.2962888888888889,4.32,0.9883333333333333,115.455
qwen36_35b_a3b,P1,high,0.2526111111111111,4.24,0.9816666666666667,149.88666666666666
qwen36_35b_a3b,P1,low,0.25619444444444445,4.276666666666667,0.98,149.47833333333335
qwen36_35b_a3b,P2,high,0.2816944444444444,4.428333333333333,0.99,132.63833333333335
qwen36_35b_a3b,P2,low,0.27147222222222217,4.431666666666667,0.9833333333333333,132.12666666666667
