metric,estimate,ci_lower,ci_upper,bootstrap_iterations,bootstrap_unit,stratified_by,model_id,family_version,architecture,encoder_id,anchor_mode,scenario_count
interior_calibration_error,0.18575605625914107,0.1819178391903518,0.18976854904281054,10000,scenario_id,style_axis,qwen35_35b_a3b,Qwen3.5,MoE,bge_m3,self,320
median_absolute_error,0.1688383237976085,0.16392832732680696,0.1738096774794874,10000,scenario_id,style_axis,qwen35_35b_a3b,Qwen3.5,MoE,bge_m3,self,320
normalized_off_axis_drift,0.7048121199385416,0.6964974516751951,0.7134027064628929,10000,scenario_id,style_axis,qwen35_35b_a3b,Qwen3.5,MoE,bge_m3,self,320
interpolation_distance_mean,0.7417167304102084,0.7335348401385205,0.7502398419886454,10000,scenario_id,style_axis,qwen35_35b_a3b,Qwen3.5,MoE,bge_m3,self,320
interpolation_distance_rms,0.7516646253162882,0.7429445162559432,0.7607249454430727,10000,scenario_id,style_axis,qwen35_35b_a3b,Qwen3.5,MoE,bge_m3,self,320
out_of_range_rate,0.0016666666666666666,0.000625,0.002916666666666667,10000,scenario_id,style_axis,qwen35_35b_a3b,Qwen3.5,MoE,bge_m3,self,320
nearest_neighbor_mean_rank,4.1729166666666675,4.136458333333334,4.208541666666667,10000,scenario_id,style_axis,qwen35_35b_a3b,Qwen3.5,MoE,bge_m3,self,320
nearest_neighbor_mean_rank_normalized,0.5288194444444444,0.5227430555555556,0.5347569444444444,10000,scenario_id,style_axis,qwen35_35b_a3b,Qwen3.5,MoE,bge_m3,self,320
spearman_monotonicity,0.6649999999999998,0.6306249999999999,0.6987499999999999,10000,scenario_id,style_axis,qwen35_35b_a3b,Qwen3.5,MoE,bge_m3,self,320
pearson_correlation,0.6766458281141517,0.6449869324652877,0.7079180599663272,10000,scenario_id,style_axis,qwen35_35b_a3b,Qwen3.5,MoE,bge_m3,self,320
calibration_slope,0.3073407108064418,0.28997437533988113,0.32463728487596566,10000,scenario_id,style_axis,qwen35_35b_a3b,Qwen3.5,MoE,bge_m3,self,320
calibration_intercept,0.33062465960102744,0.3177388121462354,0.34404506661470136,10000,scenario_id,style_axis,qwen35_35b_a3b,Qwen3.5,MoE,bge_m3,self,320
constant_half_mae,0.19999999999999998,0.19999999999999998,0.19999999999999998,10000,scenario_id,style_axis,qwen35_35b_a3b,Qwen3.5,MoE,bge_m3,self,320
endpoint_distance_ratio_mae,0.18420441147253636,0.18274861932673414,0.18561645002604235,10000,scenario_id,style_axis,qwen35_35b_a3b,Qwen3.5,MoE,bge_m3,self,320
length_only_cv_mae,0.20398416884282597,0.20238183343476127,0.20567413660460165,10000,scenario_id,style_axis,qwen35_35b_a3b,Qwen3.5,MoE,bge_m3,self,320
isotonic_cv_mae,0.17019397176568277,0.16662029229025227,0.17375658926728405,10000,scenario_id,style_axis,qwen35_35b_a3b,Qwen3.5,MoE,bge_m3,self,320
endpoint_separation,0.5479099786051351,0.5395965369570973,0.5562559759991451,10000,scenario_id,style_axis,qwen35_35b_a3b,Qwen3.5,MoE,bge_m3,self,320
interior_calibration_error,0.18648693322637366,0.18186545368275786,0.19112807144821253,10000,scenario_id,style_axis,qwen35_35b_a3b,Qwen3.5,MoE,multilingual_e5_large_instruct,self,320
median_absolute_error,0.174462078465335,0.1691840728728638,0.17985499309400213,10000,scenario_id,style_axis,qwen35_35b_a3b,Qwen3.5,MoE,multilingual_e5_large_instruct,self,320
normalized_off_axis_drift,0.6550816103015646,0.6463231163833336,0.6634813399243338,10000,scenario_id,style_axis,qwen35_35b_a3b,Qwen3.5,MoE,multilingual_e5_large_instruct,self,320
interpolation_distance_mean,0.695611873357456,0.6871718991502582,0.703838409672917,10000,scenario_id,style_axis,qwen35_35b_a3b,Qwen3.5,MoE,multilingual_e5_large_instruct,self,320
interpolation_distance_rms,0.7060012577971169,0.6970947551471326,0.7146848416305829,10000,scenario_id,style_axis,qwen35_35b_a3b,Qwen3.5,MoE,multilingual_e5_large_instruct,self,320
out_of_range_rate,0.002916666666666667,0.00125,0.004999999999999999,10000,scenario_id,style_axis,qwen35_35b_a3b,Qwen3.5,MoE,multilingual_e5_large_instruct,self,320
nearest_neighbor_mean_rank,3.973958333333333,3.9364531249999994,4.011875,10000,scenario_id,style_axis,qwen35_35b_a3b,Qwen3.5,MoE,multilingual_e5_large_instruct,self,320
nearest_neighbor_mean_rank_normalized,0.49565972222222215,0.4894088541666666,0.5019791666666666,10000,scenario_id,style_axis,qwen35_35b_a3b,Qwen3.5,MoE,multilingual_e5_large_instruct,self,320
spearman_monotonicity,0.6959374999999999,0.6628124999999999,0.7293749999999999,10000,scenario_id,style_axis,qwen35_35b_a3b,Qwen3.5,MoE,multilingual_e5_large_instruct,self,320
pearson_correlation,0.7085664080310163,0.6772944260328112,0.7400559538844416,10000,scenario_id,style_axis,qwen35_35b_a3b,Qwen3.5,MoE,multilingual_e5_large_instruct,self,320
calibration_slope,0.3894966640480897,0.36962785151429256,0.40930465482716855,10000,scenario_id,style_axis,qwen35_35b_a3b,Qwen3.5,MoE,multilingual_e5_large_instruct,self,320
calibration_intercept,0.31773978118029256,0.3036228850105395,0.3317789022127449,10000,scenario_id,style_axis,qwen35_35b_a3b,Qwen3.5,MoE,multilingual_e5_large_instruct,self,320
constant_half_mae,0.19999999999999998,0.19999999999999998,0.19999999999999998,10000,scenario_id,style_axis,qwen35_35b_a3b,Qwen3.5,MoE,multilingual_e5_large_instruct,self,320
endpoint_distance_ratio_mae,0.1775797668013916,0.1757716412641078,0.17940312697175048,10000,scenario_id,style_axis,qwen35_35b_a3b,Qwen3.5,MoE,multilingual_e5_large_instruct,self,320
length_only_cv_mae,0.20398416884282597,0.20238183343476127,0.20567413660460165,10000,scenario_id,style_axis,qwen35_35b_a3b,Qwen3.5,MoE,multilingual_e5_large_instruct,self,320
isotonic_cv_mae,0.16726423268812868,0.1637632726683232,0.17074102296758165,10000,scenario_id,style_axis,qwen35_35b_a3b,Qwen3.5,MoE,multilingual_e5_large_instruct,self,320
endpoint_separation,0.2631781579975973,0.25916409068271873,0.2671212259808993,10000,scenario_id,style_axis,qwen35_35b_a3b,Qwen3.5,MoE,multilingual_e5_large_instruct,self,320
interior_calibration_error,0.17550259340939636,0.17145967238453755,0.1795917545411085,10000,scenario_id,style_axis,qwen35_35b_a3b,Qwen3.5,MoE,text2vec_base_chinese,self,320
median_absolute_error,0.16136250612790998,0.15669526331032235,0.16601233708459492,10000,scenario_id,style_axis,qwen35_35b_a3b,Qwen3.5,MoE,text2vec_base_chinese,self,320
normalized_off_axis_drift,0.6645149220031159,0.6566778088351222,0.6725194796858729,10000,scenario_id,style_axis,qwen35_35b_a3b,Qwen3.5,MoE,text2vec_base_chinese,self,320
interpolation_distance_mean,0.6993009526368168,0.6915797342396718,0.7071871181896091,10000,scenario_id,style_axis,qwen35_35b_a3b,Qwen3.5,MoE,text2vec_base_chinese,self,320
interpolation_distance_rms,0.7081386113376784,0.6999190755745683,0.7166085921211424,10000,scenario_id,style_axis,qwen35_35b_a3b,Qwen3.5,MoE,text2vec_base_chinese,self,320
out_of_range_rate,0.0016666666666666666,0.000625,0.002916666666666667,10000,scenario_id,style_axis,qwen35_35b_a3b,Qwen3.5,MoE,text2vec_base_chinese,self,320
nearest_neighbor_mean_rank,3.96625,3.9275000000000007,4.005625,10000,scenario_id,style_axis,qwen35_35b_a3b,Qwen3.5,MoE,text2vec_base_chinese,self,320
nearest_neighbor_mean_rank_normalized,0.49437499999999995,0.48791666666666667,0.5009375,10000,scenario_id,style_axis,qwen35_35b_a3b,Qwen3.5,MoE,text2vec_base_chinese,self,320
spearman_monotonicity,0.7096874999999999,0.6806249999999998,0.7381249999999999,10000,scenario_id,style_axis,qwen35_35b_a3b,Qwen3.5,MoE,text2vec_base_chinese,self,320
pearson_correlation,0.7169912037269943,0.6889180254533389,0.7453799326712346,10000,scenario_id,style_axis,qwen35_35b_a3b,Qwen3.5,MoE,text2vec_base_chinese,self,320
calibration_slope,0.3951826987992303,0.37571527932009424,0.4146741554492057,10000,scenario_id,style_axis,qwen35_35b_a3b,Qwen3.5,MoE,text2vec_base_chinese,self,320
calibration_intercept,0.3081490117260402,0.2943409612446645,0.32214663921189957,10000,scenario_id,style_axis,qwen35_35b_a3b,Qwen3.5,MoE,text2vec_base_chinese,self,320
constant_half_mae,0.19999999999999998,0.19999999999999998,0.19999999999999998,10000,scenario_id,style_axis,qwen35_35b_a3b,Qwen3.5,MoE,text2vec_base_chinese,self,320
endpoint_distance_ratio_mae,0.1765327580837551,0.17487098811429966,0.17819847292458219,10000,scenario_id,style_axis,qwen35_35b_a3b,Qwen3.5,MoE,text2vec_base_chinese,self,320
length_only_cv_mae,0.20398416884282597,0.20238183343476127,0.20567413660460165,10000,scenario_id,style_axis,qwen35_35b_a3b,Qwen3.5,MoE,text2vec_base_chinese,self,320
isotonic_cv_mae,0.1579493392414429,0.15433758788988763,0.16157746021599148,10000,scenario_id,style_axis,qwen35_35b_a3b,Qwen3.5,MoE,text2vec_base_chinese,self,320
endpoint_separation,0.5318644952271256,0.5253341667888809,0.5383557784947467,10000,scenario_id,style_axis,qwen35_35b_a3b,Qwen3.5,MoE,text2vec_base_chinese,self,320
interior_calibration_error,0.2088578068459666,0.20497807806409896,0.2126672500881517,10000,scenario_id,style_axis,qwen35_4b,Qwen3.5,Dense,bge_m3,self,320
median_absolute_error,0.18777954670010888,0.18285613789280403,0.19261112808858794,10000,scenario_id,style_axis,qwen35_4b,Qwen3.5,Dense,bge_m3,self,320
normalized_off_axis_drift,0.7629701472646913,0.7541524978455877,0.7718620640665903,10000,scenario_id,style_axis,qwen35_4b,Qwen3.5,Dense,bge_m3,self,320
interpolation_distance_mean,0.8054969146506494,0.7970186120322038,0.814172298981461,10000,scenario_id,style_axis,qwen35_4b,Qwen3.5,Dense,bge_m3,self,320
interpolation_distance_rms,0.8185042938339752,0.8094455133859255,0.8279203211112137,10000,scenario_id,style_axis,qwen35_4b,Qwen3.5,Dense,bge_m3,self,320
out_of_range_rate,0.0010416666666666669,0.00020833333333333332,0.0022916666666666667,10000,scenario_id,style_axis,qwen35_4b,Qwen3.5,Dense,bge_m3,self,320
nearest_neighbor_mean_rank,4.4496875,4.4179140625,4.482708333333333,10000,scenario_id,style_axis,qwen35_4b,Qwen3.5,Dense,bge_m3,self,320
nearest_neighbor_mean_rank_normalized,0.5749479166666667,0.56965234375,0.5804513888888888,10000,scenario_id,style_axis,qwen35_4b,Qwen3.5,Dense,bge_m3,self,320
spearman_monotonicity,0.49562499999999987,0.45375,0.538125,10000,scenario_id,style_axis,qwen35_4b,Qwen3.5,Dense,bge_m3,self,320
pearson_correlation,0.5236360602015988,0.48308290060999426,0.5638845584664388,10000,scenario_id,style_axis,qwen35_4b,Qwen3.5,Dense,bge_m3,self,320
calibration_slope,0.1937125445207619,0.17582822698956618,0.21159038628403495,10000,scenario_id,style_axis,qwen35_4b,Qwen3.5,Dense,bge_m3,self,320
calibration_intercept,0.3467569836093703,0.3344188650905857,0.3590173937058569,10000,scenario_id,style_axis,qwen35_4b,Qwen3.5,Dense,bge_m3,self,320
constant_half_mae,0.19999999999999998,0.19999999999999998,0.19999999999999998,10000,scenario_id,style_axis,qwen35_4b,Qwen3.5,Dense,bge_m3,self,320
endpoint_distance_ratio_mae,0.19236927101087184,0.19102683512835172,0.19370704695130664,10000,scenario_id,style_axis,qwen35_4b,Qwen3.5,Dense,bge_m3,self,320
length_only_cv_mae,0.2030527168134657,0.2015256173059856,0.20475736405963874,10000,scenario_id,style_axis,qwen35_4b,Qwen3.5,Dense,bge_m3,self,320
isotonic_cv_mae,0.18439115719200735,0.18122301926528217,0.18743449487403893,10000,scenario_id,style_axis,qwen35_4b,Qwen3.5,Dense,bge_m3,self,320
endpoint_separation,0.5234231873036126,0.5149482892870877,0.5317196212030978,10000,scenario_id,style_axis,qwen35_4b,Qwen3.5,Dense,bge_m3,self,320
interior_calibration_error,0.20201742160803854,0.19784377614800144,0.20612611238698575,10000,scenario_id,style_axis,qwen35_4b,Qwen3.5,Dense,multilingual_e5_large_instruct,self,320
median_absolute_error,0.18095021638330927,0.17598799781308597,0.18588969943741007,10000,scenario_id,style_axis,qwen35_4b,Qwen3.5,Dense,multilingual_e5_large_instruct,self,320
normalized_off_axis_drift,0.7336532802802271,0.724260029214287,0.743037403863245,10000,scenario_id,style_axis,qwen35_4b,Qwen3.5,Dense,multilingual_e5_large_instruct,self,320
interpolation_distance_mean,0.7765809339397199,0.7675081916362949,0.7855261485797708,10000,scenario_id,style_axis,qwen35_4b,Qwen3.5,Dense,multilingual_e5_large_instruct,self,320
interpolation_distance_rms,0.7902398553902872,0.7805810865692461,0.7998427780642412,10000,scenario_id,style_axis,qwen35_4b,Qwen3.5,Dense,multilingual_e5_large_instruct,self,320
out_of_range_rate,0.0025,0.0012499999999999998,0.003958333333333334,10000,scenario_id,style_axis,qwen35_4b,Qwen3.5,Dense,multilingual_e5_large_instruct,self,320
nearest_neighbor_mean_rank,4.344270833333333,4.3090625000000005,4.378229166666666,10000,scenario_id,style_axis,qwen35_4b,Qwen3.5,Dense,multilingual_e5_large_instruct,self,320
nearest_neighbor_mean_rank_normalized,0.5573784722222221,0.5515104166666667,0.5630381944444445,10000,scenario_id,style_axis,qwen35_4b,Qwen3.5,Dense,multilingual_e5_large_instruct,self,320
spearman_monotonicity,0.5549999999999999,0.5118749999999999,0.5959374999999999,10000,scenario_id,style_axis,qwen35_4b,Qwen3.5,Dense,multilingual_e5_large_instruct,self,320
pearson_correlation,0.5814723011508285,0.5413809190988607,0.6200125522024378,10000,scenario_id,style_axis,qwen35_4b,Qwen3.5,Dense,multilingual_e5_large_instruct,self,320
calibration_slope,0.26388179117545674,0.2448736493216059,0.28308696748882267,10000,scenario_id,style_axis,qwen35_4b,Qwen3.5,Dense,multilingual_e5_large_instruct,self,320
calibration_intercept,0.3230343082771078,0.310904327718393,0.3354820479970748,10000,scenario_id,style_axis,qwen35_4b,Qwen3.5,Dense,multilingual_e5_large_instruct,self,320
constant_half_mae,0.19999999999999998,0.19999999999999998,0.19999999999999998,10000,scenario_id,style_axis,qwen35_4b,Qwen3.5,Dense,multilingual_e5_large_instruct,self,320
endpoint_distance_ratio_mae,0.18720043886589574,0.18558891853009304,0.18884820401140606,10000,scenario_id,style_axis,qwen35_4b,Qwen3.5,Dense,multilingual_e5_large_instruct,self,320
length_only_cv_mae,0.2030527168134657,0.2015256173059856,0.20475736405963874,10000,scenario_id,style_axis,qwen35_4b,Qwen3.5,Dense,multilingual_e5_large_instruct,self,320
isotonic_cv_mae,0.17417910317766147,0.17061645641644377,0.1777735503760229,10000,scenario_id,style_axis,qwen35_4b,Qwen3.5,Dense,multilingual_e5_large_instruct,self,320
endpoint_separation,0.24771336937877758,0.2434994192389241,0.2518791775552846,10000,scenario_id,style_axis,qwen35_4b,Qwen3.5,Dense,multilingual_e5_large_instruct,self,320
interior_calibration_error,0.19464285909931264,0.19048010708942836,0.19875561895801408,10000,scenario_id,style_axis,qwen35_4b,Qwen3.5,Dense,text2vec_base_chinese,self,320
median_absolute_error,0.17342964736345806,0.1684218263692418,0.17848933538481734,10000,scenario_id,style_axis,qwen35_4b,Qwen3.5,Dense,text2vec_base_chinese,self,320
normalized_off_axis_drift,0.7402839771737587,0.7315098413438846,0.7496332992428463,10000,scenario_id,style_axis,qwen35_4b,Qwen3.5,Dense,text2vec_base_chinese,self,320
interpolation_distance_mean,0.7795367513019152,0.7707935515295778,0.7886936009876063,10000,scenario_id,style_axis,qwen35_4b,Qwen3.5,Dense,text2vec_base_chinese,self,320
interpolation_distance_rms,0.7913226159561603,0.7821573682169161,0.8010656091776163,10000,scenario_id,style_axis,qwen35_4b,Qwen3.5,Dense,text2vec_base_chinese,self,320
out_of_range_rate,0.0027083333333333334,0.00125,0.004375,10000,scenario_id,style_axis,qwen35_4b,Qwen3.5,Dense,text2vec_base_chinese,self,320
nearest_neighbor_mean_rank,4.3384374999999995,4.3035390625,4.373645833333333,10000,scenario_id,style_axis,qwen35_4b,Qwen3.5,Dense,text2vec_base_chinese,self,320
nearest_neighbor_mean_rank_normalized,0.55640625,0.5505898437499999,0.5622743055555556,10000,scenario_id,style_axis,qwen35_4b,Qwen3.5,Dense,text2vec_base_chinese,self,320
spearman_monotonicity,0.578125,0.5378124999999999,0.6174999999999999,10000,scenario_id,style_axis,qwen35_4b,Qwen3.5,Dense,text2vec_base_chinese,self,320
pearson_correlation,0.5894310058061734,0.5504778577300166,0.6267139795837433,10000,scenario_id,style_axis,qwen35_4b,Qwen3.5,Dense,text2vec_base_chinese,self,320
calibration_slope,0.2746910388989132,0.2553070349845569,0.2941892068278885,10000,scenario_id,style_axis,qwen35_4b,Qwen3.5,Dense,text2vec_base_chinese,self,320
calibration_intercept,0.32086484581821917,0.3086999605153643,0.33298207982318767,10000,scenario_id,style_axis,qwen35_4b,Qwen3.5,Dense,text2vec_base_chinese,self,320
constant_half_mae,0.19999999999999998,0.19999999999999998,0.19999999999999998,10000,scenario_id,style_axis,qwen35_4b,Qwen3.5,Dense,text2vec_base_chinese,self,320
endpoint_distance_ratio_mae,0.18607024041972525,0.18447694669801978,0.18764608875543703,10000,scenario_id,style_axis,qwen35_4b,Qwen3.5,Dense,text2vec_base_chinese,self,320
length_only_cv_mae,0.2030527168134657,0.2015256173059856,0.20475736405963874,10000,scenario_id,style_axis,qwen35_4b,Qwen3.5,Dense,text2vec_base_chinese,self,320
isotonic_cv_mae,0.17105902409721843,0.16746447827522953,0.17463918036344697,10000,scenario_id,style_axis,qwen35_4b,Qwen3.5,Dense,text2vec_base_chinese,self,320
endpoint_separation,0.5209025581144809,0.5141543406069919,0.5274219286228867,10000,scenario_id,style_axis,qwen35_4b,Qwen3.5,Dense,text2vec_base_chinese,self,320
interior_calibration_error,0.16137452420761347,0.15761297515967337,0.1651160159480704,10000,scenario_id,style_axis,qwen35_9b,Qwen3.5,Dense,bge_m3,self,320
median_absolute_error,0.14963994854970508,0.14502328687707253,0.15417193931237963,10000,scenario_id,style_axis,qwen35_9b,Qwen3.5,Dense,bge_m3,self,320
normalized_off_axis_drift,0.7101097823335666,0.7011107177815353,0.7190684834314056,10000,scenario_id,style_axis,qwen35_9b,Qwen3.5,Dense,bge_m3,self,320
