scope,style_axis,metric,effect,estimate,ci_lower,ci_upper,paired_effect_size_dz,scenario_count
all_models,all,style_scalar_mae,prompt_P2_minus_P1,0.016719444444444443,0.006474965277777779,0.027363993055555556,0.3683712134532157,40
qwen35_4b,all,style_scalar_mae,prompt_P2_minus_P1,-0.009902777777777781,-0.023319444444444445,0.004778472222222212,-0.13353231632377563,40
qwen35_9b,all,style_scalar_mae,prompt_P2_minus_P1,0.025347222222222222,0.005263194444444445,0.04630555555555555,0.3251515673053069,40
qwen36_27b,all,style_scalar_mae,prompt_P2_minus_P1,0.029252777777777777,0.013197222222222225,0.04533638888888888,0.42660523457420824,40
qwen36_35b_a3b,all,style_scalar_mae,prompt_P2_minus_P1,0.022180555555555554,0.0062222222222222175,0.03811145833333333,0.3994534786304413,40
qwen35_4b,concision_detail,style_scalar_mae,prompt_P2_minus_P1,0.009888888888888892,-0.006555555555555548,0.0318888888888889,0.38249067709953566,5
qwen35_9b,concision_detail,style_scalar_mae,prompt_P2_minus_P1,0.006555555555555563,-0.01855555555555554,0.031111111111111107,0.1984890010504366,5
qwen36_27b,concision_detail,style_scalar_mae,prompt_P2_minus_P1,-0.035044444444444434,-0.1083111111111111,0.0388888888888889,-0.367485070482058,5
qwen36_35b_a3b,concision_detail,style_scalar_mae,prompt_P2_minus_P1,0.014777777777777779,-0.0017777777777777848,0.030444444444444448,0.6736228293956102,5
qwen35_4b,emotion_apology,style_scalar_mae,prompt_P2_minus_P1,-0.07655555555555554,-0.13277777777777774,-0.01,-0.9495277497789765,5
qwen35_9b,emotion_apology,style_scalar_mae,prompt_P2_minus_P1,-0.000999999999999991,-0.05266666666666666,0.059777777777777784,-0.013970204524687592,5
qwen36_27b,emotion_apology,style_scalar_mae,prompt_P2_minus_P1,0.003133333333333327,-0.024488888888888897,0.0289111111111111,0.09052901861707509,5
qwen36_35b_a3b,emotion_apology,style_scalar_mae,prompt_P2_minus_P1,-0.006111111111111114,-0.08466666666666667,0.07244444444444445,-0.05912654123653156,5
qwen35_4b,empathy_clinical,style_scalar_mae,prompt_P2_minus_P1,0.09355555555555557,0.050222222222222224,0.16033333333333336,1.276057877237555,5
qwen35_9b,empathy_clinical,style_scalar_mae,prompt_P2_minus_P1,0.03700000000000002,-0.05644444444444443,0.14455555555555558,0.28589405331674317,5
qwen36_27b,empathy_clinical,style_scalar_mae,prompt_P2_minus_P1,0.1024888888888889,0.08537777777777777,0.13000000000000003,3.350721009116703,5
qwen36_35b_a3b,empathy_clinical,style_scalar_mae,prompt_P2_minus_P1,0.024777777777777784,-0.020777777777777777,0.07055555555555557,0.4423588890010115,5
qwen35_4b,expertise_explain,style_scalar_mae,prompt_P2_minus_P1,-0.07877777777777778,-0.10033333333333332,-0.049333333333333326,-2.374007390717053,5
qwen35_9b,expertise_explain,style_scalar_mae,prompt_P2_minus_P1,-0.014999999999999996,-0.04388888888888888,0.013888888888888885,-0.41350487165069216,5
qwen36_27b,expertise_explain,style_scalar_mae,prompt_P2_minus_P1,0.018888888888888882,-0.006111111111111115,0.04388888888888888,0.5656462812322794,5
qwen36_35b_a3b,expertise_explain,style_scalar_mae,prompt_P2_minus_P1,0.06255555555555554,0.03877777777777777,0.08311111111111111,2.1727089621300375,5
qwen35_4b,formality_request,style_scalar_mae,prompt_P2_minus_P1,-0.057777777777777775,-0.10499999999999998,-0.003111111111111106,-0.8967183415684495,5
qwen35_9b,formality_request,style_scalar_mae,prompt_P2_minus_P1,0.05077777777777777,0.023333333333333317,0.07022222222222221,1.5930502507464999,5
qwen36_27b,formality_request,style_scalar_mae,prompt_P2_minus_P1,0.04802222222222223,0.004466666666666671,0.09366666666666665,0.8101937868781212,5
qwen36_35b_a3b,formality_request,style_scalar_mae,prompt_P2_minus_P1,0.010000000000000004,-0.020555555555555556,0.036444444444444446,0.27214997243799205,5
qwen35_4b,humor_neutral,style_scalar_mae,prompt_P2_minus_P1,0.04244444444444443,0.009444444444444432,0.0803333333333333,0.9403263877400676,5
qwen35_9b,humor_neutral,style_scalar_mae,prompt_P2_minus_P1,0.09466666666666665,0.0421111111111111,0.1452222222222222,1.4010438799975546,5
qwen36_27b,humor_neutral,style_scalar_mae,prompt_P2_minus_P1,0.0681111111111111,0.04155555555555555,0.09466666666666665,1.928307095795691,5
qwen36_35b_a3b,humor_neutral,style_scalar_mae,prompt_P2_minus_P1,0.03399999999999999,0.01055555555555555,0.05166666666666665,1.2800938408966387,5
qwen35_4b,objectivity_cat,style_scalar_mae,prompt_P2_minus_P1,0.00888888888888889,-0.007555555555555554,0.02866666666666668,0.3836257637927721,5
qwen35_9b,objectivity_cat,style_scalar_mae,prompt_P2_minus_P1,0.05688888888888888,0.03133333333333334,0.0822222222222222,1.7895371665090731,5
qwen36_27b,objectivity_cat,style_scalar_mae,prompt_P2_minus_P1,0.04802222222222222,-0.00837777777777777,0.11122222222222222,0.6338127839455256,5
qwen36_35b_a3b,objectivity_cat,style_scalar_mae,prompt_P2_minus_P1,0.01288888888888888,-0.0267777777777778,0.044,0.2821682940817838,5
qwen35_4b,politeness_refusal,style_scalar_mae,prompt_P2_minus_P1,-0.020888888888888908,-0.047000000000000014,0.002999999999999972,-0.655147717531699,5
qwen35_9b,politeness_refusal,style_scalar_mae,prompt_P2_minus_P1,-0.027111111111111107,-0.12544444444444441,0.06622222222222224,-0.23449427713417065,5
qwen36_27b,politeness_refusal,style_scalar_mae,prompt_P2_minus_P1,-0.01959999999999999,-0.07297777777777778,0.03057777777777778,-0.2958304436999017,5
qwen36_35b_a3b,politeness_refusal,style_scalar_mae,prompt_P2_minus_P1,0.024555555555555546,-0.04122222222222223,0.0902222222222222,0.28940116286931183,5
all_models,all,style_scalar_mae,temperature_low_minus_high,0.0009916666666666667,-0.003409826388888889,0.005640347222222222,0.05982694508973955,40
