metric,condition_first,condition_second,spearman_model_ranking,model_count
style_scalar_mae,P1/high,P1/low,0.7999999999999999,4
style_scalar_mae,P1/high,P2/high,0.7999999999999999,4
style_scalar_mae,P1/high,P2/low,1.0,4
style_scalar_mae,P1/low,P2/high,0.39999999999999997,4
style_scalar_mae,P1/low,P2/low,0.7999999999999999,4
style_scalar_mae,P2/high,P2/low,0.7999999999999999,4
naturalness,P1/high,P1/low,1.0,4
naturalness,P1/high,P2/high,-0.6000000000000001,4
naturalness,P1/high,P2/low,0.0,4
naturalness,P1/low,P2/high,-0.6000000000000001,4
naturalness,P1/low,P2/low,0.0,4
naturalness,P2/high,P2/low,0.7999999999999999,4
content_pass,P1/high,P1/low,0.9486832980505139,4
content_pass,P1/high,P2/high,0.39999999999999997,4
content_pass,P1/high,P2/low,0.6000000000000001,4
content_pass,P1/low,P2/high,0.316227766016838,4
content_pass,P1/low,P2/low,0.316227766016838,4
content_pass,P2/high,P2/low,0.39999999999999997,4
character_length,P1/high,P1/low,0.7999999999999999,4
character_length,P1/high,P2/high,0.7999999999999999,4
character_length,P1/high,P2/low,0.7999999999999999,4
character_length,P1/low,P2/high,0.39999999999999997,4
character_length,P1/low,P2/low,0.39999999999999997,4
character_length,P2/high,P2/low,1.0,4
