scope,encoder_id,metric,predictor,model_count,spearman_rho,regression_slope,slope_ci_lower,slope_ci_upper,r_squared,causal_interpretation_allowed
all_models_descriptive,bge_m3,interior_calibration_error,log_total_parameters,5,-0.35909242322980395,-0.0058016306666512545,-0.007808755459187696,-0.0037784485549812448,0.1055384388142564,False
all_models_descriptive,bge_m3,interior_calibration_error,log_active_parameters,5,0.15389675281277312,-0.002263666343008653,-0.004286132033174608,-0.00021621978760092385,0.01521133191101276,False
all_models_descriptive,bge_m3,normalized_off_axis_drift,log_total_parameters,5,-0.4103913408340617,-0.019043114573730577,-0.02343260199935352,-0.014666894736154762,0.5534870020107737,False
all_models_descriptive,bge_m3,normalized_off_axis_drift,log_active_parameters,5,-0.4103913408340617,-0.010868600952562663,-0.015321956582797698,-0.006509745087464374,0.1706910142453969,False
all_models_descriptive,bge_m3,spearman_monotonicity,log_total_parameters,5,0.35909242322980395,0.0499761701279974,0.029971118934516164,0.07066700869352409,0.19066589723237648,False
all_models_descriptive,bge_m3,spearman_monotonicity,log_active_parameters,5,-0.15389675281277312,-0.002025878664155917,-0.020314655036417578,0.016280807547021593,0.0002966236987148596,False
all_models_descriptive,multilingual_e5_large_instruct,interior_calibration_error,log_total_parameters,5,-0.35909242322980395,-0.0035356409816825235,-0.005723872982347455,-0.0013343164243937323,0.04249274549462145,False
all_models_descriptive,multilingual_e5_large_instruct,interior_calibration_error,log_active_parameters,5,0.15389675281277312,-0.001050727490012832,-0.003091771852119719,0.0010178463261991846,0.003552962055143105,False
all_models_descriptive,multilingual_e5_large_instruct,normalized_off_axis_drift,log_total_parameters,5,-0.4103913408340617,-0.02800903760285789,-0.03254494355289117,-0.023519399043358927,0.6125778056712068,False
all_models_descriptive,multilingual_e5_large_instruct,normalized_off_axis_drift,log_active_parameters,5,-0.4103913408340617,-0.012643175932103354,-0.01727427052493283,-0.00813095037203788,0.11817052176061194,False
all_models_descriptive,multilingual_e5_large_instruct,spearman_monotonicity,log_total_parameters,5,0.35909242322980395,0.04303559619979456,0.024450377800774626,0.061982326347563434,0.1899774400950689,False
all_models_descriptive,multilingual_e5_large_instruct,spearman_monotonicity,log_active_parameters,5,-0.15389675281277312,0.0017615363866406062,-0.014855457345357505,0.018016501763018358,0.00030134329068398635,False
all_models_descriptive,text2vec_base_chinese,interior_calibration_error,log_total_parameters,5,-0.35909242322980395,-0.0029700507861540556,-0.005102426539426549,-0.0008665137817538763,0.024595926438709892,False
all_models_descriptive,text2vec_base_chinese,interior_calibration_error,log_active_parameters,5,0.15389675281277312,0.00203969167735796,-3.5359891154379793e-05,0.004167593507825631,0.010982378011811122,False
all_models_descriptive,text2vec_base_chinese,normalized_off_axis_drift,log_total_parameters,5,-0.5642880936468347,-0.026015434019234035,-0.030299658777845,-0.021716405075814186,0.6357451593687369,False
all_models_descriptive,text2vec_base_chinese,normalized_off_axis_drift,log_active_parameters,5,-0.05129891760425771,-0.012199546762352596,-0.01636432254837924,-0.007941813674694058,0.13235495624836435,False
all_models_descriptive,text2vec_base_chinese,spearman_monotonicity,log_total_parameters,5,0.35909242322980395,0.04087574969997419,0.022458624521640828,0.05957926325712947,0.19114891732779904,False
all_models_descriptive,text2vec_base_chinese,spearman_monotonicity,log_active_parameters,5,-0.15389675281277312,-0.0018609409902584104,-0.01856526347855178,0.014259078737325515,0.00037509173117422634,False
Qwen3.5,bge_m3,interior_calibration_error,log_total_parameters,3,-0.5,-0.007701151117888057,-0.010088664857371617,-0.005348532852321092,0.1263519591251302,False
Qwen3.5,bge_m3,interior_calibration_error,log_active_parameters,3,-0.5,-0.03011605058438073,-0.034309668560768565,-0.025855980253692335,0.522101548514883,False
Qwen3.5,bge_m3,normalized_off_axis_drift,log_total_parameters,3,-1.0,-0.024450013552541665,-0.02949057823542236,-0.019442223146734265,0.6943688311716552,False
Qwen3.5,bge_m3,normalized_off_axis_drift,log_active_parameters,3,0.5,-0.01043228220516032,-0.019548442009799757,-0.0010130524245678925,0.03415693705229039,False
Qwen3.5,bge_m3,spearman_monotonicity,log_total_parameters,3,0.5,0.061042404064154614,0.0350362632817627,0.08633920522841353,0.2138899499179221,False
Qwen3.5,bge_m3,spearman_monotonicity,log_active_parameters,3,0.5,0.1616513764017906,0.1263308751071192,0.19561323210841244,0.40529774750913383,False
