model_id,encoder_id,estimate,ci_lower,ci_upper,scenario_rows,metric,axis_set
qwen35_35b_a3b,bge_m3,0.18575605625914107,0.1819178391903518,0.18976854904281054,320,interior_calibration_error,all_axes
qwen35_35b_a3b,multilingual_e5_large_instruct,0.18648693322637366,0.1818609793595637,0.19118922094623936,320,interior_calibration_error,all_axes
qwen35_35b_a3b,text2vec_base_chinese,0.17550259340939636,0.171547582990717,0.17950915251686603,320,interior_calibration_error,all_axes
qwen35_4b,bge_m3,0.2088578068459666,0.20507336006192356,0.21272301606434835,320,interior_calibration_error,all_axes
qwen35_4b,multilingual_e5_large_instruct,0.20201742160803854,0.1978885838970034,0.20611669579358358,320,interior_calibration_error,all_axes
qwen35_4b,text2vec_base_chinese,0.19464285909931264,0.19043590082303752,0.19872619325735894,320,interior_calibration_error,all_axes
qwen35_9b,bge_m3,0.16137452420761347,0.15772513356149184,0.16511819977036132,320,interior_calibration_error,all_axes
qwen35_9b,multilingual_e5_large_instruct,0.1584125475399398,0.15432319315335652,0.16261029475076821,320,interior_calibration_error,all_axes
qwen35_9b,text2vec_base_chinese,0.14848843149404406,0.1446862539937782,0.15236153361264268,320,interior_calibration_error,all_axes
qwen36_27b,bge_m3,0.18965391375162857,0.18557045788919094,0.19386545700643962,320,interior_calibration_error,all_axes
qwen36_27b,multilingual_e5_large_instruct,0.1895093792013482,0.18495004773233475,0.19413149770337051,320,interior_calibration_error,all_axes
qwen36_27b,text2vec_base_chinese,0.1885392626725611,0.18410734922202868,0.19298479077326963,320,interior_calibration_error,all_axes
qwen36_35b_a3b,bge_m3,0.1781969512556854,0.17430069328322312,0.18212480138833081,320,interior_calibration_error,all_axes
qwen36_35b_a3b,multilingual_e5_large_instruct,0.17367725650090032,0.16946206096361963,0.17789770028058202,320,interior_calibration_error,all_axes
qwen36_35b_a3b,text2vec_base_chinese,0.16647974551020303,0.162304133659458,0.1706021247618925,320,interior_calibration_error,all_axes
qwen35_35b_a3b,bge_m3,0.17745522697981989,0.17333144458158156,0.18162856152573387,280,interior_calibration_error,exclude_concision_detail
qwen35_35b_a3b,multilingual_e5_large_instruct,0.1779621996148754,0.17304425560001047,0.1829293112143156,280,interior_calibration_error,exclude_concision_detail
qwen35_35b_a3b,text2vec_base_chinese,0.16568700630615413,0.16159070291734204,0.1698354205178323,280,interior_calibration_error,exclude_concision_detail
qwen35_4b,bge_m3,0.20320237336495098,0.19925388421239087,0.207235791748531,280,interior_calibration_error,exclude_concision_detail
qwen35_4b,multilingual_e5_large_instruct,0.19648507050228417,0.19211887926545446,0.20089734027188347,280,interior_calibration_error,exclude_concision_detail
qwen35_4b,text2vec_base_chinese,0.18680646293095507,0.18237084261352077,0.19125600499051873,280,interior_calibration_error,exclude_concision_detail
qwen35_9b,bge_m3,0.1530834823974512,0.14915740965224009,0.15697979515246321,280,interior_calibration_error,exclude_concision_detail
qwen35_9b,multilingual_e5_large_instruct,0.14976403178794392,0.14547702652390704,0.15399090434885918,280,interior_calibration_error,exclude_concision_detail
qwen35_9b,text2vec_base_chinese,0.13808338722637853,0.1340944146733495,0.1419515032356485,280,interior_calibration_error,exclude_concision_detail
qwen36_27b,bge_m3,0.18287593563730806,0.1783706289096861,0.18754929274613766,280,interior_calibration_error,exclude_concision_detail
qwen36_27b,multilingual_e5_large_instruct,0.18256507191287405,0.1776332641878092,0.18744762673120582,280,interior_calibration_error,exclude_concision_detail
qwen36_27b,text2vec_base_chinese,0.18071347731232953,0.17598062598002645,0.18554837712303565,280,interior_calibration_error,exclude_concision_detail
qwen36_35b_a3b,bge_m3,0.16972984065288743,0.16568181896913395,0.17390211566772815,280,interior_calibration_error,exclude_concision_detail
qwen36_35b_a3b,multilingual_e5_large_instruct,0.16600701701388185,0.161287840786522,0.1706101582080108,280,interior_calibration_error,exclude_concision_detail
qwen36_35b_a3b,text2vec_base_chinese,0.15689877945854847,0.15259815909494684,0.1612064943053082,280,interior_calibration_error,exclude_concision_detail
