model_id,encoder_id,estimate,ci_lower,ci_upper,scenario_rows,metric
qwen35_35b_a3b,bge_m3,0.8163455570484256,0.8048967484441704,0.8280907494977331,320,endpoint_line_error
qwen35_35b_a3b,multilingual_e5_large_instruct,0.7527723869610418,0.7410015817128583,0.7645404683113388,320,endpoint_line_error
qwen35_35b_a3b,text2vec_base_chinese,0.7582162500532252,0.7472891043521448,0.7692069921814253,320,endpoint_line_error
qwen35_4b,bge_m3,0.9220699932657649,0.9099812819286563,0.9342608790037595,320,endpoint_line_error
qwen35_4b,multilingual_e5_large_instruct,0.8762587420888768,0.8634346718348332,0.8892350363871723,320,endpoint_line_error
qwen35_4b,text2vec_base_chinese,0.8831295470907531,0.87089917760899,0.895989502745315,320,endpoint_line_error
qwen35_9b,bge_m3,0.8193362920456793,0.8070068751339605,0.8314398232117838,320,endpoint_line_error
qwen35_9b,multilingual_e5_large_instruct,0.7465805840713007,0.7352701179659902,0.7580942776866605,320,endpoint_line_error
qwen35_9b,text2vec_base_chinese,0.7674653387260507,0.7567297154025717,0.7784068070822309,320,endpoint_line_error
qwen36_27b,bge_m3,0.8211331320771957,0.8091029708220362,0.8337639584357626,320,endpoint_line_error
qwen36_27b,multilingual_e5_large_instruct,0.7515821823344961,0.7391719327417767,0.7646673861300544,320,endpoint_line_error
qwen36_27b,text2vec_base_chinese,0.7666564726223816,0.7542057704290731,0.7790526318661881,320,endpoint_line_error
qwen36_35b_a3b,bge_m3,0.8413367959125854,0.8269575366698992,0.8560067319731485,320,endpoint_line_error
qwen36_35b_a3b,multilingual_e5_large_instruct,0.7580506094801619,0.7456932660700697,0.7710523901830219,320,endpoint_line_error
qwen36_35b_a3b,text2vec_base_chinese,0.7769065683583936,0.7649405901799337,0.7890730081674515,320,endpoint_line_error
qwen35_35b_a3b,bge_m3,0.18515494719360376,0.1800695869159678,0.19054015092283336,320,endpoint_line_along_error
qwen35_35b_a3b,multilingual_e5_large_instruct,0.18788962686666633,0.1822227355491012,0.1935812381188074,320,endpoint_line_along_error
qwen35_35b_a3b,text2vec_base_chinese,0.17880471425818753,0.1739976978650371,0.18369093432264222,320,endpoint_line_along_error
qwen35_4b,bge_m3,0.2069941360305118,0.20230307161136837,0.21174230555871487,320,endpoint_line_along_error
qwen35_4b,multilingual_e5_large_instruct,0.20505131233329013,0.19981083585091802,0.2103795469152116,320,endpoint_line_along_error
qwen35_4b,text2vec_base_chinese,0.19801234136670104,0.19324476892539014,0.20282110735966874,320,endpoint_line_along_error
qwen35_9b,bge_m3,0.1579584250397331,0.15366608998989859,0.16242419056896792,320,endpoint_line_along_error
qwen35_9b,multilingual_e5_large_instruct,0.1649451955335453,0.16046908340387375,0.1696815386825404,320,endpoint_line_along_error
qwen35_9b,text2vec_base_chinese,0.15244266629912434,0.14815630878912442,0.1567961399301004,320,endpoint_line_along_error
qwen36_27b,bge_m3,0.19182406559994253,0.1870831387124126,0.19659100432815912,320,endpoint_line_along_error
qwen36_27b,multilingual_e5_large_instruct,0.19688013392141177,0.1914305378155758,0.20234088624351176,320,endpoint_line_along_error
