model_id,estimate,ci_lower,ci_upper,scenario_rows,metric,encoder_id,separation_filter,threshold
qwen35_35b_a3b,0.18575605625914107,0.1819178391903518,0.18976854904281054,320,interior_calibration_error,bge_m3,full,-inf
qwen35_4b,0.2088578068459666,0.20500608440351445,0.2127083664878717,320,interior_calibration_error,bge_m3,full,-inf
qwen35_9b,0.16137452420761347,0.1577483400134839,0.16505146949870156,320,interior_calibration_error,bge_m3,full,-inf
qwen36_27b,0.18965391375162857,0.1854806532745417,0.19376380807426238,320,interior_calibration_error,bge_m3,full,-inf
qwen36_35b_a3b,0.1781969512556854,0.17427744925174304,0.18220685396593164,320,interior_calibration_error,bge_m3,full,-inf
qwen35_35b_a3b,0.18033539808669533,0.17623804787515412,0.18446715323439547,281,interior_calibration_error,bge_m3,exclude_lowest_10pct,0.3896286003571458
qwen35_4b,0.20516225705129698,0.20117361547702345,0.2091389127693834,279,interior_calibration_error,bge_m3,exclude_lowest_10pct,0.3896286003571458
qwen35_9b,0.15612558393431245,0.15234270985114218,0.1598606750565421,294,interior_calibration_error,bge_m3,exclude_lowest_10pct,0.3896286003571458
qwen36_27b,0.18614856131173776,0.18184867472862998,0.19059637260061504,300,interior_calibration_error,bge_m3,exclude_lowest_10pct,0.3896286003571458
qwen36_35b_a3b,0.17263093204349134,0.1685060586744222,0.17688368964976656,286,interior_calibration_error,bge_m3,exclude_lowest_10pct,0.3896286003571458
qwen35_35b_a3b,0.17766902644214363,0.17337856894422474,0.18202512040712115,246,interior_calibration_error,bge_m3,exclude_lowest_20pct,0.4520651692182518
qwen35_4b,0.20478138639366228,0.20034855109519065,0.20923669128767322,227,interior_calibration_error,bge_m3,exclude_lowest_20pct,0.4520651692182518
qwen35_9b,0.15363249346718255,0.14965847494823883,0.15766081009815855,265,interior_calibration_error,bge_m3,exclude_lowest_20pct,0.4520651692182518
qwen36_27b,0.1841351265220435,0.17955323271170448,0.18862110901111698,282,interior_calibration_error,bge_m3,exclude_lowest_20pct,0.4520651692182518
qwen36_35b_a3b,0.17053485490806697,0.1664244136638363,0.17491571282036808,260,interior_calibration_error,bge_m3,exclude_lowest_20pct,0.4520651692182518
qwen35_35b_a3b,0.18648693322637366,0.18186545368275783,0.19112807144821253,320,interior_calibration_error,multilingual_e5_large_instruct,full,-inf
qwen35_4b,0.20201742160803854,0.19790311569017696,0.20618661813242872,320,interior_calibration_error,multilingual_e5_large_instruct,full,-inf
qwen35_9b,0.1584125475399398,0.15426498331738409,0.1626207418870755,320,interior_calibration_error,multilingual_e5_large_instruct,full,-inf
qwen36_27b,0.1895093792013482,0.18490009601446203,0.19397900316853173,320,interior_calibration_error,multilingual_e5_large_instruct,full,-inf
qwen36_35b_a3b,0.17367725650090032,0.16945799520218993,0.17799357786002096,320,interior_calibration_error,multilingual_e5_large_instruct,full,-inf
qwen35_35b_a3b,0.1791636661538302,0.17423630535004891,0.18418566679499349,281,interior_calibration_error,multilingual_e5_large_instruct,exclude_lowest_10pct,0.18179165064171515
qwen35_4b,0.1994664311599465,0.19478296251854477,0.2040935529180365,275,interior_calibration_error,multilingual_e5_large_instruct,exclude_lowest_10pct,0.18179165064171515
qwen35_9b,0.1535343350705421,0.14941996241064937,0.15771846016682348,298,interior_calibration_error,multilingual_e5_large_instruct,exclude_lowest_10pct,0.18179165064171515
qwen36_27b,0.18542452265242934,0.18083398069560644,0.19014649720804386,296,interior_calibration_error,multilingual_e5_large_instruct,exclude_lowest_10pct,0.18179165064171515
qwen36_35b_a3b,0.16842621977253022,0.16395571773045642,0.17302641567611565,290,interior_calibration_error,multilingual_e5_large_instruct,exclude_lowest_10pct,0.18179165064171515
qwen35_35b_a3b,0.17733994201525716,0.17210530736944635,0.18282770274451027,244,interior_calibration_error,multilingual_e5_large_instruct,exclude_lowest_20pct,0.21269643115161638
qwen35_4b,0.19775567804760336,0.19248223280389576,0.20322000600919418,224,interior_calibration_error,multilingual_e5_large_instruct,exclude_lowest_20pct,0.21269643115161638
qwen35_9b,0.14856712864365215,0.14421938295256334,0.15300912246160348,269,interior_calibration_error,multilingual_e5_large_instruct,exclude_lowest_20pct,0.21269643115161638
qwen36_27b,0.18255703682993965,0.17758338195992412,0.18751162766466373,279,interior_calibration_error,multilingual_e5_large_instruct,exclude_lowest_20pct,0.21269643115161638
qwen36_35b_a3b,0.1664551982550972,0.161660389644171,0.171216080018313,264,interior_calibration_error,multilingual_e5_large_instruct,exclude_lowest_20pct,0.21269643115161638
qwen35_35b_a3b,0.17550259340939636,0.17145967238453758,0.17959175454110848,320,interior_calibration_error,text2vec_base_chinese,full,-inf
qwen35_4b,0.19464285909931264,0.19040936882256657,0.19873337109881248,320,interior_calibration_error,text2vec_base_chinese,full,-inf
qwen35_9b,0.14848843149404406,0.14471017160048671,0.1522998854240533,320,interior_calibration_error,text2vec_base_chinese,full,-inf
qwen36_27b,0.1885392626725611,0.18419845170483173,0.1929168162323488,320,interior_calibration_error,text2vec_base_chinese,full,-inf
qwen36_35b_a3b,0.16647974551020303,0.1624516799724665,0.1706876436697049,320,interior_calibration_error,text2vec_base_chinese,full,-inf
qwen35_35b_a3b,0.16736208399595212,0.16322182833580262,0.17160752991345923,285,interior_calibration_error,text2vec_base_chinese,exclude_lowest_10pct,0.37632914785473814
qwen35_4b,0.18957278300871086,0.18511496237550643,0.19413255475619762,283,interior_calibration_error,text2vec_base_chinese,exclude_lowest_10pct,0.37632914785473814
qwen35_9b,0.14106003547309048,0.13717122706928317,0.14496357953843456,290,interior_calibration_error,text2vec_base_chinese,exclude_lowest_10pct,0.37632914785473814
qwen36_27b,0.18443622086341838,0.1798861808066596,0.1890509816104477,296,interior_calibration_error,text2vec_base_chinese,exclude_lowest_10pct,0.37632914785473814
qwen36_35b_a3b,0.15916004735277633,0.15504549718283495,0.16344267460215597,286,interior_calibration_error,text2vec_base_chinese,exclude_lowest_10pct,0.37632914785473814
qwen35_35b_a3b,0.16212401934209242,0.15755833554033252,0.16683024693280277,247,interior_calibration_error,text2vec_base_chinese,exclude_lowest_20pct,0.4549600730491607
qwen35_4b,0.18587235298108667,0.18094450423051564,0.19066249035530478,236,interior_calibration_error,text2vec_base_chinese,exclude_lowest_20pct,0.4549600730491607
qwen35_9b,0.13515840579369157,0.13118052010607276,0.13940792484520817,266,interior_calibration_error,text2vec_base_chinese,exclude_lowest_20pct,0.4549600730491607
qwen36_27b,0.18081617172722642,0.17598537938479578,0.18558988713481198,277,interior_calibration_error,text2vec_base_chinese,exclude_lowest_20pct,0.4549600730491607
qwen36_35b_a3b,0.15374031497743726,0.1492698483395085,0.15839643013417182,254,interior_calibration_error,text2vec_base_chinese,exclude_lowest_20pct,0.4549600730491607
