model_id,encoder_id,method,statistic,estimate,ci_lower,ci_upper,scenario_count,incremental_cost,mean_llm_judge_latency_seconds,total_llm_judge_output_tokens_all_models,human_style_correlation,human_style_mae,human_validation_status
qwen35_35b_a3b,bge_m3,constant_0.5,mae,0.19999999999999998,0.2,0.2,320,deterministic local computation,,0,,,external_pending
qwen35_35b_a3b,bge_m3,constant_0.5,median_absolute_error,0.16666666666666669,0.16666666666666663,0.16666666666666663,320,deterministic local computation,,0,,,external_pending
qwen35_35b_a3b,bge_m3,constant_0.5,spearman,,,,320,deterministic local computation,,0,,,external_pending
qwen35_35b_a3b,bge_m3,constant_0.5,pearson,,,,320,deterministic local computation,,0,,,external_pending
qwen35_35b_a3b,bge_m3,constant_0.5,calibration_slope,3.2878958044297755e-17,3.287895804429775e-17,3.287895804429775e-17,320,deterministic local computation,,0,,,external_pending
qwen35_35b_a3b,bge_m3,constant_0.5,calibration_intercept,0.5,0.5,0.5,320,deterministic local computation,,0,,,external_pending
qwen35_35b_a3b,bge_m3,endpoint_distance_ratio,mae,0.18638513268829424,0.18500135745458318,0.18776545947915424,320,sentence-encoder inference; no LLM request,,0,,,external_pending
qwen35_35b_a3b,bge_m3,endpoint_distance_ratio,median_absolute_error,0.17799000624874958,0.17506016749605016,0.18091862497344238,320,sentence-encoder inference; no LLM request,,0,,,external_pending
qwen35_35b_a3b,bge_m3,endpoint_distance_ratio,spearman,0.66375,0.6290624999999999,0.6965625,320,sentence-encoder inference; no LLM request,,0,,,external_pending
qwen35_35b_a3b,bge_m3,endpoint_distance_ratio,pearson,0.6752310611865611,0.6420447401752385,0.7074603519920774,320,sentence-encoder inference; no LLM request,,0,,,external_pending
qwen35_35b_a3b,bge_m3,endpoint_distance_ratio,calibration_slope,0.11206661636929631,0.10571911606048297,0.1186623816225558,320,sentence-encoder inference; no LLM request,,0,,,external_pending
qwen35_35b_a3b,bge_m3,endpoint_distance_ratio,calibration_intercept,0.4390435809276174,0.43425658572631115,0.4438191738225006,320,sentence-encoder inference; no LLM request,,0,,,external_pending
qwen35_35b_a3b,bge_m3,isotonic_grouped_cv,mae,0.18265755667189987,0.18053425863707068,0.18481534622106519,320,sentence-encoder inference; no LLM request,,0,,,external_pending
qwen35_35b_a3b,bge_m3,isotonic_grouped_cv,median_absolute_error,0.17705654301465984,0.1734641881998916,0.18075623997900947,320,sentence-encoder inference; no LLM request,,0,,,external_pending
qwen35_35b_a3b,bge_m3,isotonic_grouped_cv,spearman,0.657411680536703,0.623272960237447,0.6912132371058443,320,sentence-encoder inference; no LLM request,,0,,,external_pending
qwen35_35b_a3b,bge_m3,isotonic_grouped_cv,pearson,0.6690884948636079,0.6367355708794216,0.7003477463419563,320,sentence-encoder inference; no LLM request,,0,,,external_pending
qwen35_35b_a3b,bge_m3,isotonic_grouped_cv,calibration_slope,0.1637780267309041,0.15407114347699635,0.1734249297770245,320,sentence-encoder inference; no LLM request,,0,,,external_pending
qwen35_35b_a3b,bge_m3,isotonic_grouped_cv,calibration_intercept,0.41765585882227885,0.41043598421493754,0.42482645668280683,320,sentence-encoder inference; no LLM request,,0,,,external_pending
qwen35_35b_a3b,bge_m3,length_only_grouped_cv,mae,0.20172997239342685,0.20117739301543375,0.2023227947581772,320,deterministic local computation,,0,,,external_pending
qwen35_35b_a3b,bge_m3,length_only_grouped_cv,median_absolute_error,0.17156576425058528,0.17053106791358238,0.17271229895905071,320,deterministic local computation,,0,,,external_pending
qwen35_35b_a3b,bge_m3,length_only_grouped_cv,spearman,0.044374999999999984,-0.015000000000000003,0.10343749999999999,320,deterministic local computation,,0,,,external_pending
qwen35_35b_a3b,bge_m3,length_only_grouped_cv,pearson,0.028368142045634048,-0.030956610919156264,0.08502045727363369,320,deterministic local computation,,0,,,external_pending
qwen35_35b_a3b,bge_m3,length_only_grouped_cv,calibration_slope,-0.00041220772848387066,-0.0025278528909098243,0.001700898429204628,320,deterministic local computation,,0,,,external_pending
qwen35_35b_a3b,bge_m3,length_only_grouped_cv,calibration_intercept,0.5004924914528274,0.498792799027508,0.5022233227450885,320,deterministic local computation,,0,,,external_pending
qwen35_35b_a3b,bge_m3,raw_projection,mae,0.18575605625914107,0.18185271110153342,0.18972014507764667,320,sentence-encoder inference; no LLM request,,0,,,external_pending
qwen35_35b_a3b,bge_m3,raw_projection,median_absolute_error,0.1688383237976085,0.16391591397917088,0.17391002393562213,320,sentence-encoder inference; no LLM request,,0,,,external_pending
qwen35_35b_a3b,bge_m3,raw_projection,spearman,0.6649999999999998,0.6309374999999999,0.6984374999999999,320,sentence-encoder inference; no LLM request,,0,,,external_pending
qwen35_35b_a3b,bge_m3,raw_projection,pearson,0.6766458281141517,0.6449724703476521,0.7079114495812957,320,sentence-encoder inference; no LLM request,,0,,,external_pending
qwen35_35b_a3b,bge_m3,raw_projection,calibration_slope,0.3073407108064418,0.2897699343744724,0.324920745154427,320,sentence-encoder inference; no LLM request,,0,,,external_pending
qwen35_35b_a3b,bge_m3,raw_projection,calibration_intercept,0.33062465960102744,0.3175032706779479,0.3437261360878161,320,sentence-encoder inference; no LLM request,,0,,,external_pending
qwen35_35b_a3b,fixed_qwen36_35b_scalar_judge,llm_scalar_judge,mae,0.26144791666666667,0.25402769097222216,0.2688021701388889,320,one fixed-judge request per generated text,2.93183180925,1668699,,,external_pending
qwen35_35b_a3b,fixed_qwen36_35b_scalar_judge,llm_scalar_judge,median_absolute_error,0.25600694444444444,0.24781250000000005,0.26409765625,320,one fixed-judge request per generated text,2.93183180925,1668699,,,external_pending
qwen35_35b_a3b,fixed_qwen36_35b_scalar_judge,llm_scalar_judge,spearman,0.7321966870435275,0.7006661196263105,0.7633630805236354,320,one fixed-judge request per generated text,2.93183180925,1668699,,,external_pending
qwen35_35b_a3b,fixed_qwen36_35b_scalar_judge,llm_scalar_judge,pearson,0.7134065038241728,0.6817127463396692,0.7430542818522875,320,one fixed-judge request per generated text,2.93183180925,1668699,,,external_pending
qwen35_35b_a3b,fixed_qwen36_35b_scalar_judge,llm_scalar_judge,calibration_slope,0.6013124999999999,0.5629054687499998,0.6402499999999998,320,one fixed-judge request per generated text,2.93183180925,1668699,,,external_pending
qwen35_35b_a3b,fixed_qwen36_35b_scalar_judge,llm_scalar_judge,calibration_intercept,0.25281250000000005,0.22489531250000003,0.2809329427083333,320,one fixed-judge request per generated text,2.93183180925,1668699,,,external_pending
qwen35_35b_a3b,multilingual_e5_large_instruct,constant_0.5,mae,0.19999999999999998,0.2,0.2,320,deterministic local computation,,0,,,external_pending
qwen35_35b_a3b,multilingual_e5_large_instruct,constant_0.5,median_absolute_error,0.16666666666666669,0.16666666666666663,0.16666666666666663,320,deterministic local computation,,0,,,external_pending
qwen35_35b_a3b,multilingual_e5_large_instruct,constant_0.5,spearman,,,,320,deterministic local computation,,0,,,external_pending
qwen35_35b_a3b,multilingual_e5_large_instruct,constant_0.5,pearson,,,,320,deterministic local computation,,0,,,external_pending
