scope,style_axis,metric,effect,estimate,ci_lower,ci_upper,paired_effect_size_dz,scenario_count
all_models,all,style_scalar_mae,prompt_P2_minus_P1,0.0167194444444444,0.0064749652777777,0.0273639930555555,0.3683712134532157,40
qwen35_4b,all,style_scalar_mae,prompt_P2_minus_P1,-0.0099027777777777,-0.0233194444444444,0.0047784722222222,-0.1335323163237756,40
qwen35_9b,all,style_scalar_mae,prompt_P2_minus_P1,0.0253472222222222,0.0052631944444444,0.0463055555555555,0.3251515673053069,40
qwen36_27b,all,style_scalar_mae,prompt_P2_minus_P1,0.0292527777777777,0.0131972222222222,0.0453363888888888,0.4266052345742082,40
qwen36_35b_a3b,all,style_scalar_mae,prompt_P2_minus_P1,0.0221805555555555,0.0062222222222222,0.0381114583333333,0.3994534786304413,40
qwen35_4b,concision_detail,style_scalar_mae,prompt_P2_minus_P1,0.0098888888888888,-0.0065555555555555,0.0318888888888889,0.3824906770995356,5
qwen35_9b,concision_detail,style_scalar_mae,prompt_P2_minus_P1,0.0065555555555555,-0.0185555555555555,0.0311111111111111,0.1984890010504366,5
qwen36_27b,concision_detail,style_scalar_mae,prompt_P2_minus_P1,-0.0350444444444444,-0.1083111111111111,0.0388888888888889,-0.367485070482058,5
qwen36_35b_a3b,concision_detail,style_scalar_mae,prompt_P2_minus_P1,0.0147777777777777,-0.0017777777777777,0.0304444444444444,0.6736228293956102,5
qwen35_4b,emotion_apology,style_scalar_mae,prompt_P2_minus_P1,-0.0765555555555555,-0.1327777777777777,-0.01,-0.9495277497789764,5
qwen35_9b,emotion_apology,style_scalar_mae,prompt_P2_minus_P1,-0.0009999999999999,-0.0526666666666666,0.0597777777777777,-0.0139702045246875,5
qwen36_27b,emotion_apology,style_scalar_mae,prompt_P2_minus_P1,0.0031333333333333,-0.0244888888888888,0.0289111111111111,0.090529018617075,5
qwen36_35b_a3b,emotion_apology,style_scalar_mae,prompt_P2_minus_P1,-0.0061111111111111,-0.0846666666666666,0.0724444444444444,-0.0591265412365315,5
qwen35_4b,empathy_clinical,style_scalar_mae,prompt_P2_minus_P1,0.0935555555555555,0.0502222222222222,0.1603333333333333,1.276057877237555,5
qwen35_9b,empathy_clinical,style_scalar_mae,prompt_P2_minus_P1,0.037,-0.0564444444444444,0.1445555555555555,0.2858940533167431,5
qwen36_27b,empathy_clinical,style_scalar_mae,prompt_P2_minus_P1,0.1024888888888889,0.0853777777777777,0.13,3.350721009116703,5
qwen36_35b_a3b,empathy_clinical,style_scalar_mae,prompt_P2_minus_P1,0.0247777777777777,-0.0207777777777777,0.0705555555555555,0.4423588890010115,5
qwen35_4b,expertise_explain,style_scalar_mae,prompt_P2_minus_P1,-0.0787777777777777,-0.1003333333333333,-0.0493333333333333,-2.374007390717053,5
qwen35_9b,expertise_explain,style_scalar_mae,prompt_P2_minus_P1,-0.0149999999999999,-0.0438888888888888,0.0138888888888888,-0.4135048716506921,5
